# input	kind	canonical	formatted
90 deg	angle	1.570796326794896619231321692	90 degrees
90 deg in rad	angle	1.570796326794896619231321692	1.5708 radians
0.25 turn in deg	angle	1.570796326794896619231321692	90 degrees
200 grad in deg	angle	3.141592653589793238462643383	180 degrees
90 deg + 90 deg	angle	3.141592653589793238462643384	180 degrees
1 turn - 90 deg	angle	4.712388980384689857693965075	0.75 turns
45 deg * 2	angle	1.570796326794896619231321692	90 degrees
180 deg / 4	angle	0.7853981633974483096156608458	45 degrees
-90 deg	angle	-1.570796326794896619231321692	-90 degrees
1 rad in deg	angle	1	57.2958 degrees
one turn	angle	6.283185307179586476925286767	1 turn
360 degrees in turns	angle	6.283185307179586476925286767	1 turn
1.5 rad	angle	1.5	1.5 radians
100 gon in grad	angle	1.570796326794896619231321692	100 gradians
2 revolutions in deg	angle	12.56637061435917295385057353	720 degrees
# The `+` nobody typed: a full revolution plus a bit, which is how a rotation
# gets dictated. The classic "30 deg 15 arcmin" waits on an arcminute unit.
1 turn 30 deg	angle	6.806784082777885350002393998	1.0833 turns
