# input	kind	canonical	formatted
90 degrés	angle	1.570796326794896619231321692	90 degrés
90 degrés en radians	angle	1.570796326794896619231321692	1,5708 radian
0,25 tour en degrés	angle	1.570796326794896619231321692	90 degrés
200 grades en degrés	angle	3.141592653589793238462643383	180 degrés
90 degrés + 90 degrés	angle	3.141592653589793238462643384	180 degrés
1 tour - 90 degrés	angle	4.712388980384689857693965075	0,75 tour
45 degrés * 2	angle	1.570796326794896619231321692	90 degrés
180 degrés / 4	angle	0.7853981633974483096156608458	45 degrés
-90 degrés	angle	-1.570796326794896619231321692	-90 degrés
1 radian en degrés	angle	1	57,2958 degrés
un tour	angle	6.283185307179586476925286767	1 tour
deux radians	angle	2	2 radians
360 degrés en tours	angle	6.283185307179586476925286767	1 tour
1,5 radian	angle	1.5	1,5 radian
# U+202F is the group separator French prints, and the reader takes every
# space character there is.
1 000 degrés	angle	17.45329251994329576923690768	1 000 degrés
3 tours en degrés	angle	18.8495559215387594307758603	1 080 degrés
# French `one` swallows every fraction below two, so a fraction takes the
# **singular** — "1,5 degré", "0,75 tour". Spanish and Italian print the
# plural for the same numbers; Portuguese agrees with French.
1 degré	angle	0.01745329251994329576923690768	1 degré
2 degrés	angle	0.03490658503988659153847381537	2 degrés
1,5 degré	angle	0.02617993877991494365385536153	1,5 degré
0,75 tour	angle	4.712388980384689857693965075	0,75 tour
# Vigesimal cardinals: ninety is spoken as four-twenties-ten.
quatre-vingt-dix degrés	angle	1.570796326794896619231321692	90 degrés
quatre-vingt-dix degrés en radians	angle	1.570796326794896619231321692	1,5708 radian
# The word operators. "fois" stands alone; "divisé par" is two tokens folded
# into one.
45 degrés fois 2	angle	1.570796326794896619231321692	90 degrés
180 degrés divisé par 4	angle	0.7853981633974483096156608458	45 degrés
# "vers" is the second conversion preposition beside "en".
90 degrés vers grades	angle	1.570796326794896619231321692	100 grades
