# input	kind	canonical	formatted
90 derece	angle	1.570796326794896619231321692	90 derece
90 derece çevir radyan	angle	1.570796326794896619231321692	1,5708 radyan
0,25 devir çevir derece	angle	1.570796326794896619231321692	90 derece
200 grad çevir derece	angle	3.141592653589793238462643383	180 derece
90 derece + 90 derece	angle	3.141592653589793238462643384	180 derece
1 devir - 90 derece	angle	4.712388980384689857693965075	0,75 devir
180 derece / 4	angle	0.7853981633974483096156608458	45 derece
-90 derece	angle	-1.570796326794896619231321692	-90 derece
1 radyan çevir derece	angle	1	57,2958 derece
bir devir	angle	6.283185307179586476925286767	1 devir
iki yüz grad	angle	3.141592653589793238462643383	200 grad
360 derece çevir devir	angle	6.283185307179586476925286767	1 devir
1,5 radyan	angle	1.5	1,5 radyan
# "." groups and "," is the decimal point, German's pair.
1.234.567 derece	angle	21547.25898646883482793950141	1.234.567 derece
3 devir çevir derece	angle	18.8495559215387594307758603	1.080 derece
# Turkish does not pluralise after a numeral, so every unit here has exactly
# one printed form and no number axis at all — the smallest `forms` table of
# the seventeen. "1 derece", "5 derece", "1,5 derece", all the same word.
1 derece	angle	0.01745329251994329576923690768	1 derece
5 derece	angle	0.08726646259971647884618453842	5 derece
1,5 derece	angle	0.02617993877991494365385536153	1,5 derece
# A conversion is not a preposition here: the target takes no marker of its
# own and the sentence hangs off the verb "çevir". "to" is claimed beside it
# because Turkish writing borrows it.
90 derece to radyan	angle	1.570796326794896619231321692	1,5708 radyan
# The suffix stripper. Turkish agglutinates case and plural onto the unit
# word, and neither of these endings is listed as an alias — the stripper
# takes them off and the bare stem is what matches.
10 dereceye	angle	0.1745329251994329576923690768	10 derece
10 dereceler	angle	0.1745329251994329576923690768	10 derece
# The dotless i. `toLocaleLowerCase("tr")` sends "I" to "ı" and "İ" to "i", so
# a Turkish engine has to fold both spellings of a capitalised unit onto the
# one alias. No other language in this set has a case fold that moves a
# letter's identity.
10 DEVİR	angle	62.83185307179586476925286767	10 devir
10 DEVIR	angle	62.83185307179586476925286767	10 devir
# The operators are all bare words, none of them two-token.
45 derece çarpı 2	angle	1.570796326794896619231321692	90 derece
180 derece bölü 4	angle	0.7853981633974483096156608458	45 derece
