# input	kind	canonical	formatted
3 m * 4 m	area	12	12 m²
1 hectare en m2	area	10000	10 000 m²
1 acre en m2	area	4046.8564224	4 046,8564224 m²
2 km2 en hectares	area	2000000	200 hectares
5000 cm2 en m2	area	0.5	0,5 m²
10 m2 + 5 m2	area	15	15 m²
1 hectare - 2500 m2	area	7500	0,75 hectare
3 m2 * 4	area	12	12 m²
100 m2 / 4	area	25	25 m²
-5 m2	area	-5	-5 m²
2 sqkm en m2	area	2000000	2 000 000 m²
1 m2 en cm2	area	1	10 000 cm²
deux hectares	area	20000	2 hectares
1 km * 1 km	area	1000000	1 000 000 m²
12 m2	area	12	12 m²
# `one` reaches further here than anywhere else in this set: zero takes it, and
# so does every fraction below two. "1,5 hectare" against Spanish's "1,5
# hectáreas" for the same noun and the same amount.
1 hectare	area	10000	1 hectare
2 hectares	area	20000	2 hectares
0 hectare	area	0	0 hectare
1,5 hectare	area	15000	1,5 hectare
# The group separator is U+202F, a narrow no-break space, and the decimal point
# is a comma. All three space characters read on input; only this one prints.
1 500 m2	area	1500	1 500 m²
# "fois" and "multiplié" are both times; only "divisé" needs "par" beside it.
10 m2 fois 3	area	30	30 m²
10 m2 multiplié par 3	area	30	30 m²
100 m2 divisé par 4	area	25	25 m²
# Vigesimal cardinals — ninety is said as four-twenties-ten.
quatre-vingt-dix hectares	area	900000	90 hectares
# "vers" is the second conversion preposition, and the count-free target still
# lands in `one` when the answer is below two.
1 acre vers hectares	area	4046.8564224	0,40468564224 hectare
