# input	kind	canonical	formatted
3 m * 4 m	area	12	12 m²
1 hektar w m2	area	10000	10 000 m²
1 akr w m2	area	4046.8564224	4 046,8564224 m²
2 km2 w hektarach	area	2000000	200 hektarów
5000 cm2 w m2	area	0.5	0,5 m²
10 m2 + 5 m2	area	15	15 m²
1 hektar - 2500 m2	area	7500	0,75 hektara
3 m2 * 4	area	12	12 m²
100 m2 / 4	area	25	25 m²
-5 m2	area	-5	-5 m²
2 sqkm w m2	area	2000000	2 000 000 m²
1 m2 w cm2	area	1	10 000 cm²
dwa hektary	area	20000	2 hektary
1 km * 1 km	area	1000000	1 000 000 m²
12 m2	area	12	12 m²
# Four plural categories on the hectare, where English has two and the squared
# units have none at all. `few` is 2-4, `many` is 5 up, and the teens go to
# `many` however they end.
1 hektar	area	10000	1 hektar
2 hektary	area	20000	2 hektary
5 hektarów	area	50000	5 hektarów
12 hektarów	area	120000	12 hektarów
# `many` reaches 21, where Ukrainian and Russian send the same count back to
# the singular.
21 hektarów	area	210000	21 hektarów
# The fractional category is the genitive *singular* — "1,5 hektara", never
# "1,5 hektarów" — and it is a fifth word rather than a reuse of one of the
# four above.
1,5 hektara	area	15000	1,5 hektara
# The locative is what "w" governs, and it is read on the way in and not what
# comes back: the acre declines on the same pattern, "hektarach" is the target
# typed, and the answer carries a count so it prints a nominative.
1 akr w hektarach	area	4046.8564224	0,40468564224 hektara
# A decimal comma and a U+00A0 group separator. The squared units print through
# their symbol and Polish sets a space before it, following PN-EN ISO 80000
# rather than English's tight "1 500m²".
1 500 m2	area	1500	1 500 m²
# "razy" stands alone; "podzielić" needs "przez" beside it.
10 m2 razy 3	area	30	30 m²
100 m2 podzielić przez 4	area	25	25 m²
