# What a comparison returns. Registering this kind is what turns
# `1000 MB = 1 GB` from an unresolvable expression into `true`.
#
# `true` and `false` are not translated, and that is this file's finding
# rather than an oversight it hides: the kind ships no vocabulary at all,
# so `formatValue` degrades to the unit key in every language. A German
# engine answering "true" is what the code does today, and a row asserting
# it is what makes a later `boolean/locale/de` a visible diff here.
# input	kind	canonical	formatted
1000 MB = 1 GB	boolean	1	true
1 km > 999 m	boolean	1	true
1 km < 999 m	boolean	0	false
1 m = 100 cm	boolean	1	true
2 > 1	boolean	1	true
1 >= 1	boolean	1	true
1 <= 0	boolean	0	false
5 != 4	boolean	1	true
1 kg + 500 g = 1,5 kg	boolean	1	true
1 km - 250 m = 750 m	boolean	1	true
10 km * 3 = 30 km	boolean	1	true
1 km / 4 = 250 m	boolean	1	true
-5 km < 0 km	boolean	1	true
1 km in Metern = 1000 m	boolean	1	true
ein Kilometer = 1000 Meter	boolean	1	true
# The decimal comma and the group dot, German's pair and English's read
# backwards: "1,5" is three halves here and "1.500" is fifteen hundred.
1,5 km = 1500 m	boolean	1	true
1.500 m = 1,5 km	boolean	1	true
# The number axis German mostly does not have. "Meter" is invariant after a
# numeral; "Meile" is the one length unit whose plural is marked.
2 Meter = 200 Zentimeter	boolean	1	true
2 Meilen > 3 Kilometer	boolean	1	true
# The dative the conversion preposition governs, read on the way in — and
# "nach" beside "in" as a second way to spell the target.
2 km nach Metern = 2000 m	boolean	1	true
# `compoundSplitter` on a right-headed compound the lexer cannot cut and no
# vocabulary enumerates.
1 Quadratkilometer = 100 Hektar	boolean	1	true
# The word operators. "mal" stands alone; "geteilt durch" is two tokens
# folded into one.
2 km mal 3 = 6 km	boolean	1	true
10 km geteilt durch 4 = 2,5 km	boolean	1	true
# `in` is the conversion keyword, so the inch is typed "Zoll" and never "in".
1 Zoll = 2,54 cm	boolean	1	true
# Every German noun is capitalised in prose and bare in a search box, and
# both spellings have to reach the same unit.
1 kilometer = 1000 meter	boolean	1	true
