# What a comparison returns. Registering this kind is what turns
# `1000 mb = 1 gb` from an unresolvable expression into `true`.
# input	kind	canonical	formatted
1000 mb = 1 gb	boolean	1	true
1 km > 999 m	boolean	1	true
1 km < 999 m	boolean	0	false
1 m = 100 cm	boolean	1	true
1 kg = 1 kg	boolean	1	true
2 > 1	boolean	1	true
1 >= 1	boolean	1	true
1 <= 0	boolean	0	false
5 != 4	boolean	1	true
1 gb = 1000 mb	boolean	1	true
1 mi > 1 km	boolean	1	true
3 < 4	boolean	1	true
10 = 10	boolean	1	true
1 kib > 1 kb	boolean	1	true
0 < 1	boolean	1	true
20 C > 10 C	boolean	1	true
1 hectare = 10000 m2	boolean	1	true
100 kph < 60 mph	boolean	0	false
1 kwh = 3.6 mj	boolean	1	true
1 h != 60 min	boolean	0	false
