# What a comparison returns. Registering this kind is what turns
# `1000 MB = 1 GB` from an unresolvable expression into `true`.
#
# `true` and `false` are not translated, and that is this file's finding
# rather than an oversight it hides: the kind ships no vocabulary at all,
# so `formatValue` degrades to the unit key in every language. A Dutch
# engine answering "true" is what the code does today, and a row asserting
# it is what makes a later `boolean/locale/nl` a visible diff here.
# input	kind	canonical	formatted
1000 MB = 1 GB	boolean	1	true
1 km > 999 m	boolean	1	true
1 km < 999 m	boolean	0	false
1 m = 100 cm	boolean	1	true
2 > 1	boolean	1	true
1 >= 1	boolean	1	true
1 <= 0	boolean	0	false
5 != 4	boolean	1	true
1 kg + 500 g = 1,5 kg	boolean	1	true
1 km - 250 m = 750 m	boolean	1	true
-5 km < 0 km	boolean	1	true
1 km in meters = 1000 m	boolean	1	true
2 km naar meter = 2000 m	boolean	1	true
een kilometer = 1000 meter	boolean	1	true
tweeduizend meter = 2 km	boolean	1	true
# The decimal comma and the group dot, German's pair in a language with no
# case to go with it.
1,5 km = 1500 m	boolean	1	true
1.500 m = 1,5 km	boolean	1	true
# No unit moves on the number axis, "mijl" included — the direct opposite of
# German, which marks the plural of that one word and of almost no other.
5 mijl > 8 km	boolean	1	true
3 voet = 91,44 cm	boolean	1	true
# `in` is the conversion keyword, so the inch is typed "duim".
1 duim = 2,54 cm	boolean	1	true
# Two words for times and one two-token operator for over.
2 km maal 3 = 6 km	boolean	1	true
2 km keer 3 = 6 km	boolean	1	true
10 km gedeeld door 4 = 2,5 km	boolean	1	true
1 uur != 60 minuten	boolean	0	false
1 hectare = 10000 m2	boolean	1	true
