# What a comparison returns. Registering this kind is what turns
# `1000 MB = 1 GB` from an unresolvable expression into `true`.
#
# `true` and `false` are not translated, and that is this file's finding
# rather than an oversight it hides: the kind ships no vocabulary at all,
# so `formatValue` degrades to the unit key in every language. A Portuguese
# engine answering "true" is what the code does today, and a row asserting
# it is what makes a later `boolean/locale/pt` a visible diff here.
# input	kind	canonical	formatted
1000 MB = 1 GB	boolean	1	true
1 km > 999 m	boolean	1	true
1 km < 999 m	boolean	0	false
1 m = 100 cm	boolean	1	true
2 > 1	boolean	1	true
1 >= 1	boolean	1	true
1 <= 0	boolean	0	false
5 != 4	boolean	1	true
1 kg + 500 g = 1,5 kg	boolean	1	true
1 km - 250 m = 750 m	boolean	1	true
-5 km < 0 km	boolean	1	true
1 km em metros = 1000 m	boolean	1	true
2 km para metros = 2000 m	boolean	1	true
um quilômetro = 1000 metros	boolean	1	true
dois mil metros = 2 km	boolean	1	true
# The decimal comma and the group dot, the pair English reads backwards.
1,5 km = 1500 m	boolean	1	true
1.500 m = 1,5 km	boolean	1	true
# "por" is claimed for times, so division is spoken with "sobre" — and
# "dividido" stands alone rather than taking a preposition after it.
2 km vezes 3 = 6 km	boolean	1	true
10 km sobre 4 = 2,5 km	boolean	1	true
10 km dividido 4 = 2,5 km	boolean	1	true
# Both spellings of the kilometre read: European "quilómetro" beside the
# Brazilian "quilômetro" the writer emits.
1 quilómetro = 1000 metros	boolean	1	true
1 polegada = 2,54 cm	boolean	1	true
3 pés = 91,44 cm	boolean	1	true
1 milha > 1 km	boolean	1	true
1 hectare = 10000 m2	boolean	1	true
