# input	kind	canonical	formatted
10 km	length	10000	10 kilómetros
1 kg + 500 g	mass	1500	1,5 kilogramos
30 h - 30 min	duration	106200	29,5 horas
2 km en metros	length	2000	2.000 metros
10 km * 3	length	30000	30 kilómetros
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 kilómetros
212 F en C	temperature	100	100°C
30 C - 20 C	tempdelta	10	10°C
20% de 50	number	10	10
90 grados en radianes	angle	1.570796326794896619231321692	1,5708 radianes
1 kib en b	datasize	1024	1.024 bytes
3 m * 4 m	area	12	12 m²
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
un kilómetro	length	1000	1 kilómetro
doscientos cinco gramos	mass	205	205 gramos
# "." groups and "," is the decimal point: fifteen hundred grams, then one and
# a half kilograms.
1.500 g	mass	1500	1.500 gramos
1,5 kg	mass	1500	1,5 kilogramos
# A fraction takes the **plural** in Spanish — "0,25 kilómetros", "1,5
# kilómetros" — which is the opposite of what French and Portuguese do with
# the same number, and the reason those three files exist separately.
1 km / 4	length	250	0,25 kilómetros
1,5 km	length	1500	1,5 kilómetros
# `pie` / `pies`, a unit whose plural is not a bare -s.
1 pie	length	0.3048	1 pie
3 pies	length	0.9144	3 pies
# "por" is `times` and "entre" is `over`; neither takes a particle after it.
2 km por 3	length	6000	6 kilómetros
10 km entre 4	length	2500	2,5 kilómetros
# "a" is the second conversion preposition, beside "en".
2 km a metros	length	2000	2.000 metros
