# input	kind	canonical	formatted
10 km	length	10000	10 kilomètres
1 kg + 500 g	mass	1500	1,5 kilogramme
30 h - 30 min	duration	106200	29,5 heures
2 km en mètres	length	2000	2 000 mètres
10 km * 3	length	30000	30 kilomètres
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 kilomètres
212 F en C	temperature	100	100 °C
30 C - 20 C	tempdelta	10	10 °C
20% de 50	number	10	10
1 kio en o	datasize	1024	1 024 octets
3 m * 4 m	area	12	12 m²
100 km / 2 h	speed	13.88888888888888888888888889	50 km/h
un kilomètre	length	1000	1 kilomètre
# The vigesimal cardinals: ninety is spoken as four-twenties-ten.
quatre-vingt-dix kilomètres	length	90000	90 kilomètres
# French groups with U+202F on the way out and accepts an ordinary space on
# the way in, so this row is not a round trip of itself.
1 500 g	mass	1500	1 500 grammes
# `one` swallows every fraction below two here, so a fraction takes the
# **singular** — "1,5 kilomètre", "0,25 kilomètre", "1,5707… radian" — and
# Spanish says the plural for the same numbers. Two and a half is plural
# again, which is what makes this a rule about the value and not about the
# decimal point.
1 km / 4	length	250	0,25 kilomètre
1,5 km	length	1500	1,5 kilomètre
2,5 km	length	2500	2,5 kilomètres
90 degrés en radians	angle	1.570796326794896619231321692	1,5708 radian
# The imperial units are loans and take a plain -s.
1 mile	length	1609.344	1 mile
2 miles	length	3218.688	2 miles
# "divisé par" is one operator in two tokens; "fois" is a bare `times`.
2 km fois 3	length	6000	6 kilomètres
10 km divisé par 4	length	2500	2,5 kilomètres
# "vers" is the second conversion preposition, beside "en".
2 km vers mètres	length	2000	2 000 mètres
