# input	kind	canonical	formatted
10 km	length	10000	10 chilometri
1 kg + 500 g	mass	1500	1,5 chilogrammi
30 h - 30 min	duration	106200	29,5 ore
2 km in metri	length	2000	2.000 metri
10 km * 3	length	30000	30 chilometri
(1 + 2) * 3	number	9	9
-5 km	length	-5000	-5 chilometri
212 F in C	temperature	100	100°C
30 C - 20 C	tempdelta	10	10°C
20% di 50	number	10	10
90 gradi in radianti	angle	1.570796326794896619231321692	1,5707963267948966192313217 radianti
1 kib in b	datasize	1024	1.024 byte
3 m * 4 m	area	12	12m²
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889m/s
un chilometro	length	1000	1 chilometro
duecentocinque grammi	mass	205	205 grammi
# "." groups and "," is the decimal point.
1.500 g	mass	1500	1.500 grammi
# A fraction takes the plural, as in Spanish and against French.
1 km / 4	length	250	0,25 chilometri
1,5 km	length	1500	1,5 chilometri
# `miglio` / `miglia`: a plural that is not a bare -s and that changes gender
# on the way.
1 miglio	length	1609.344	1 miglio
2 miglia	length	3218.688	2 miglia
# `chilometro` is spelled with `ch` on the way out; the `k` spelling reads and
# never prints.
1 kilometro	length	1000	1 chilometro
# "per" is `times` and "diviso" is a bare `over` needing no particle after it.
2 km per 3	length	6000	6 chilometri
10 km diviso 4	length	2500	2,5 chilometri
# "a" is the second conversion preposition, beside "in".
2 km a metri	length	2000	2.000 metri
