# input	kind	canonical	formatted
100 mbps	datarate	100000000	100Mbps
1 gbps ke mbps	datarate	1000000000	1.000Mbps
500 MB / 20 detik	datarate	200000000	200Mbps
100 mbps * 1 menit	datasize	750000000	750.000.000 byte
1 menit * 100 mbps	datasize	750000000	750.000.000 byte
1 GB / 100 mbps	duration	80	80 detik
100 mbps + 50 mbps	datarate	150000000	150Mbps
200 mbps - 50 mbps	datarate	150000000	150Mbps
2 mbps * 3	datarate	6000000	6Mbps
1 gbps / 4	datarate	250000000	0,25Gbps
-10 mbps	datarate	-10000000	-10Mbps
8000 bps ke kbps	datarate	8000	8kbps
1 tbps ke gbps	datarate	1000000000000	1.000Gbps
# No spelled-cardinal row anywhere in this file: `@smartput/core/locale/id` is
# the one language here with no cardinal reader, so "seratus mbps" does not
# parse and there is nothing honest to record for it.
#
# "." groups and "," marks the decimal — the Dutch pair, which is where
# Indonesian got it.
1.234.567 bps	datarate	1234567	1.234.567bps
1,5 gbps	datarate	1500000000	1,5Gbps
# No plural anywhere: `byte` and `detik` each have exactly one form, and
# `selectForm` has one category to choose it from. One row of a `forms` table is
# a finished answer in this language rather than a stub.
1 byte	datasize	1	1 byte
5 byte	datasize	5	5 byte
125 MB / 1 gbps	duration	1	1 detik
# `bita` is the Indonesian spelling and is read; `byte` is what prints.
1 bita	datasize	1	1 byte
# The word operators stand alone — there is no `by` in this language's keywords
# for a second token to hang off.
2 mbps kali 3	datarate	6000000	6Mbps
10 gbps bagi 4	datarate	2500000000	2,5Gbps
100 mbps tambah 50 mbps	datarate	150000000	150Mbps
200 mbps kurang 50 mbps	datarate	150000000	150Mbps
# `dalam` beside `ke` as a second conversion preposition.
1 gbps dalam mbps	datarate	1000000000	1.000Mbps
# The rate vocabulary is the Latin acronyms and nothing else — Indonesian writes
# a network rate the way the rest of the world does, so there is no spelled rate
# noun here for the spelled size noun to be confused with. "100 megabit" does
# not resolve at all in this engine; "100 megabyte" is a size.
100 megabyte	datasize	100000000	100 megabyte
