# input	kind	canonical	formatted
100 mbps	datarate	100000000	100Mbps
500 MB / 20 s	datarate	200000000	200Mbps
100 mbps * 1 min	datasize	750000000	750.000.000 byte
1 min * 100 mbps	datasize	750000000	750.000.000 byte
1 GB / 100 mbps	duration	80	80 secondi
100 mbps + 50 mbps	datarate	150000000	150Mbps
200 mbps - 50 mbps	datarate	150000000	150Mbps
2 mbps * 3	datarate	6000000	6Mbps
1 gbps / 4	datarate	250000000	0,25Gbps
-10 mbps	datarate	-10000000	-10Mbps
8000 bps in kbps	datarate	8000	8kbps
duecento megabit	datarate	200000000	200Mbps
# "." groups and "," marks the decimal.
1.234.567 bps	datarate	1234567	1.234.567bps
1,5 gbps	datarate	1500000000	1,5Gbps
# A fraction takes the **plural** in Italian — "1,5 secondi" against the
# "1 secondo" beside it. French puts the same number in the singular.
125 MB / 1 gbps	duration	1	1 secondo
187,5 MB / 1 gbps	duration	1.5	1,5 secondi
# `byte` is a loanword and does not move on the number axis, where `secondo`
# above does. The rate units have no forms at all and print through the symbol,
# so the space in front of "byte" and its absence in front of "Mbps" is the
# renderer telling the two apart.
1 byte	datasize	1	1 byte
5 byte	datasize	5	5 byte
# Italian spells the prefix with `ch`, and it reads: the printed symbol stays
# Latin either way.
1 chilobit	datarate	1000	1kbps
1 kilobit	datarate	1000	1kbps
# `per` is `times` and `diviso` stands alone as `over` — so Italian cannot say
# "diviso per", which would be two operators in a row.
2 mbps per 3	datarate	6000000	6Mbps
10 gbps diviso 4	datarate	2500000000	2,5Gbps
# `a` beside `in` as a second conversion preposition.
1 gbps a mbps	datarate	1000000000	1.000Mbps
# "megabit" and "megabyte" are one letter apart and name two kinds, and the
# factor of 8 between them is the one the bridge signatures write out.
100 megabit	datarate	100000000	100Mbps
100 megabyte	datasize	100000000	100 megabyte
