# input	kind	canonical	formatted
1 kib en b	datasize	1024	1.024 bytes
1 gb en mb	datasize	1000000000	1.000 megabytes
1 gib en mib	datasize	1073741824	1.024 mebibytes
1 tb a gb	datasize	1000000000000	1.000 gigabytes
1 mib en kb	datasize	1048576	1.048,576 kilobytes
1024 b en kib	datasize	1024	1 kibibyte
500 mb + 500 mb	datasize	1000000000	1.000 megabytes
1 gb - 200 mb	datasize	800000000	0,8 gigabytes
2 gb * 3	datasize	6000000000	6 gigabytes
1 tb / 4	datasize	250000000000	0,25 terabytes
-1 gb	datasize	-1000000000	-1 gigabyte
un gigabyte	datasize	1000000000	1 gigabyte
doscientos cinco megabytes	datasize	205000000	205 megabytes
# Spanish groups with "." and takes "," for the decimal. A dot before three
# digits is a thousands mark, so "1.500 bytes" is fifteen hundred of them.
1.500 bytes	datasize	1500	1.500 bytes
1234567 bytes	datasize	1234567	1.234.567 bytes
1,5 GB	datasize	1500000000	1,5 gigabytes
# The number axis has two words on it, and a fraction takes the **plural**:
# "1,5 gigabytes", never "1,5 gigabyte". Portuguese and French next door both
# print the singular there, which is the whole reason each of the three keeps
# its own table.
1 byte	datasize	1	1 byte
2 bytes	datasize	2	2 bytes
# "octeto" is the Spanish word for the eight bits and it reads; the printed
# form is the English loan, which is what a Spanish spec sheet writes.
1 octeto	datasize	1	1 byte
5 octetos	datasize	5	5 bytes
# The word operators, and the trap in them: "por" is times, so division has to
# be "entre" — a bare "dividido por" would put two operators in a row.
2 GB por 3	datasize	6000000000	6 gigabytes
10 GB entre 4	datasize	2500000000	2,5 gigabytes
100 MB más 100 MB	datasize	200000000	200 megabytes
1 GB menos 200 MB	datasize	800000000	0,8 gigabytes
# "a" is the second preposition that introduces a target, beside "en".
2 GB a MB	datasize	2000000000	2.000 megabytes
