# input	kind	canonical	formatted
1 kib in b	datasize	1024	1.024 byte
1 gb in mb	datasize	1000000000	1.000 megabyte
1 gib in mib	datasize	1073741824	1.024 mebibyte
1 tb a gb	datasize	1000000000000	1.000 gigabyte
1024 b in kib	datasize	1024	1 kibibyte
500 mb + 500 mb	datasize	1000000000	1.000 megabyte
1 gb - 200 mb	datasize	800000000	0,8 gigabyte
2 gb * 3	datasize	6000000000	6 gigabyte
1 tb / 4	datasize	250000000000	0,25 terabyte
-1 gb	datasize	-1000000000	-1 gigabyte
un gigabyte	datasize	1000000000	1 gigabyte
duecentocinque megabyte	datasize	205000000	205 megabyte
# Italian groups with "." and takes "," for the decimal, so "1.500 byte" is
# fifteen hundred of them.
1.500 byte	datasize	1500	1.500 byte
1234567 byte	datasize	1234567	1.234.567 byte
1,5 GB	datasize	1500000000	1,5 gigabyte
# The unit noun is an unadapted English loan, and Italian leaves those
# invariant: 1, 2 and 5 take the same "byte", and both `forms` keys hold the
# same word. Spanish and Portuguese pluralise the very same loan.
1 byte	datasize	1	1 byte
2 byte	datasize	2	2 byte
5 byte	datasize	5	5 byte
# "chilobyte" is the Italian spelling and it reads; the printed form is the
# k-spelling, which is what an Italian spec sheet writes.
1 chilobyte	datasize	1000	1 kilobyte
# "ottetto" is the eight bits named in Italian rather than borrowed. It reads
# and never prints, and it does inflect where the loan does not.
1 ottetto	datasize	1	1 byte
5 ottetti	datasize	5	5 byte
# The word operators, and the trap in them: "per" is times, so division is the
# bare "diviso" with no preposition after it.
2 GB per 3	datasize	6000000000	6 gigabyte
10 GB diviso 4	datasize	2500000000	2,5 gigabyte
100 MB più 100 MB	datasize	200000000	200 megabyte
1 GB meno 200 MB	datasize	800000000	0,8 gigabyte
