# input	kind	canonical	formatted
2 settimane	duration	1209600	2 settimane
30 ore - 30 minuti	duration	106200	29,5 ore
90 minuti in ore	duration	5400	1,5 ore
1 giorno in ore	duration	86400	24 ore
500 ms + 500 ms	duration	1	1.000 millisecondi
2 ore * 3	duration	21600	6 ore
-2 ore	duration	-7200	-2 ore
1 ora in secondi	duration	3600	3.600 secondi
3600 secondi in ore	duration	3600	1 ora
45 minuti	duration	2700	45 minuti
1,5 ore in minuti	duration	5400	90 minuti
2 giorni + 12 ore	duration	216000	2,5 giorni
una ora	duration	3600	1 ora
duecentocinque secondi	duration	205	205 secondi
# "." groups and "," is the decimal point.
86.400 secondi in giorni	duration	86400	1 giorno
# A fraction takes the plural, as in Spanish and against French.
1,5 ore	duration	5400	1,5 ore
1,5 giorni	duration	129600	1,5 giorni
1 giorno / 4	duration	21600	0,25 giorni
# "per" is times and "diviso" is over, and "diviso" stands bare — there is no
# second token for it to hang off.
2 ore per 3	duration	21600	6 ore
1 giorno diviso 4	duration	21600	0,25 giorni
# Two prepositions introduce a conversion target.
1 settimana a giorni	duration	604800	7 giorni
# `ora` is feminine and its plural is `ore`, not the `-i` the four masculine
# units take.
1 ora	duration	3600	1 ora
5 ore	duration	18000	5 ore
1 giorno	duration	86400	1 giorno
