# input	kind	canonical	formatted
1 kwh in j	energy	3600000	3,600,000 joules
2 kw * 3 h	energy	21600000	21,600,000 joules
3 h * 2 kw	energy	21600000	21,600,000 joules
1 kwh / 1 h	power	1000	1,000 watts
1 kwh / 1 kw	duration	3600	3,600 seconds
1 kcal in j	energy	4184	4,184 joules
1 btu in j	energy	1055.05585262	1,055.05585262 joules
1 mj in kj	energy	1000000	1,000 kilojoules
500 j + 500 j	energy	1000	1,000 joules
2 kj * 3	energy	6000	6 kilojoules
1 mwh in kwh	energy	3600000000	1,000kwh
-1 kwh	energy	-3600000	-1kwh
one kilojoule	energy	1000	1 kilojoule
1000 cal in kcal	energy	4184	1 kilocalorie
2.5 kwh	energy	9000000	2.5kwh
