# input	kind	canonical	formatted
1 kwh en joules	energy	3600000	3 600 000 joules
2 kW * 3 heures	energy	21600000	6 kilowattheures
1 kwh / 1 heure	power	1000	1 kilowatt
1 kwh / 1 kW	duration	3600	1 heure
1 kcal en joules	energy	4184	4 184 joules
500 joules + 500 joules	energy	1000	1 000 joules
2 kJ * 3	energy	6000	6 kilojoules
1 kJ - 250 J	energy	750	0,75 kilojoule
1 kJ / 4	energy	250	0,25 kilojoule
-1 kwh	energy	-3600000	-1 kilowattheure
un kilojoule	energy	1000	1 kilojoule
1000 cal en kcal	energy	4184	1 kilocalorie
# The group separator printed here is U+202F, the narrow no-break space, and an
# ordinary space is what an input may carry.
1 234 567 joules	energy	1234567	1 234 567 joules
2,5 kwh	energy	9000000	2,5 kilowattheures
# The rows the number axis turns on. French `one` swallows every amount below
# two, fractions included, so 1,5 prints a **singular** noun where Spanish and
# Italian print a plural on the same amount; 2,5 is back to `other`.
1 joule	energy	1	1 joule
2 joules	energy	2	2 joules
1,5 kJ	energy	1500	1,5 kilojoule
2,5 kJ	energy	2500	2,5 kilojoules
# The vigesimal cardinals: ninety is "four-twenty-ten", one word with hyphens
# and therefore one token.
quatre-vingt-dix joules	energy	90	90 joules
# Where French parts company with English, Russian and Arabic on the same
# unit: "wattheure" is a single fused word, so the watt-hour family declares
# `forms` and prints them instead of falling back to the symbol.
1 kilowattheure	energy	3600000	1 kilowattheure
2 kilowattheures	energy	7200000	2 kilowattheures
1,5 kilowattheure	energy	5400000	1,5 kilowattheure
# The word operators: "fois" stands alone, "divisé par" is two tokens.
2 kJ fois 3	energy	6000	6 kilojoules
10 kJ divisé par 4	energy	2500	2,5 kilojoules
# "vers" is the second conversion preposition beside the "en" generation emits.
2 kWh vers joules	energy	7200000	7 200 000 joules
