# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows are chosen for what only the whole set
# can answer: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each of the four bridge
# owners names its operands by id string rather than importing them, so a
# signature whose operands are unregistered is unreachable rather than a build
# error — these rows are what would catch that.
3 m * 4 m	area	12	12 m²
1 km * 1 km	area	1000000	1,000,000 m²
100 km / 2 h	speed	13.88888888888888888888888889	13.888888888888888888888889 m/s
1 km / 1 min	speed	16.66666666666666666666666667	16.666666666666666666666667 m/s
2 kw * 3 h	energy	21600000	21,600,000 joules
3 h * 2 kw	energy	21600000	21,600,000 joules
1 kwh / 1 h	power	1000	1,000 watts
1 kwh / 1 kw	duration	3600	3,600 seconds
500 mb / 20 s	datarate	200000000	200 mbps
100 mbps * 1 min	datasize	750000000	750,000,000 bytes
1 min * 100 mbps	datasize	750000000	750,000,000 bytes
1 gb / 100 mbps	duration	80	80 seconds
120 bpm in ms	duration	0.5	500 milliseconds
500 ms in bpm	tempo	120	120 bpm
1000 mb = 1 gb	boolean	1	true
1 mi > 1 km	boolean	1	true
100 kph < 60 mph	boolean	0	false
1 kwh = 3.6 mj	boolean	1	true
1 kg + 500 g	mass	1500	1.5 kilograms
30 h - 30 min	duration	106200	29.5 hours
212 F in C	temperature	100	100°C
30 C - 20 C	tempdelta	10	10°C
20% of 50	number	10	10
50 + 20%	number	60	60
(1 + 2) * 3	number	9	9
one thousand thirty two	number	1032	1,032
1 kib in b	datasize	1024	1,024 bytes
90 deg in rad	angle	1.570796326794896619231321692	1.5707963267948966192313217 radians
1 hectare in m2	area	10000	10,000 m²
1 gal in l	volume	3.785411784	3.785411784 litres
