# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows range across the set rather than drill
# one kind: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each bridge owner names
# its operands by id string rather than importing them, so a signature whose
# operands are unregistered is unreachable rather than a build error.
3 m * 4 m	area	12	12 m²
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
2 kw * 3 h	energy	21600000	21.600.000 julios
1 kwh / 1 h	power	1000	1.000 vatios
1 kwh / 1 kw	duration	3600	3.600 segundos
500 mb / 20 s	datarate	200000000	200 Mbps
100 mbps * 1 min	datasize	750000000	750.000.000 bytes
500 ms en bpm	tempo	120	120 bpm
1000 mb = 1 gb	boolean	1	true
1 mi > 1 km	boolean	1	true
212 F en C	temperature	100	100°C
30 C - 20 C	tempdelta	10	10°C
20% de 50	number	10	10
(1 + 2) * 3	number	9	9
1 kib en b	datasize	1024	1.024 bytes
90 grados en radianes	angle	1.570796326794896619231321692	1,5707963267948966192313217 radianes
-5 km	length	-5000	-5 kilómetros
# "." groups and "," separates the decimal.
1.500 m en km	length	1500	1,5 kilómetros
250 ml + 1 l	volume	1.25	1.250 mililitros
# A fraction takes the *plural* in Spanish — "1,5 kilogramos", never "1,5
# kilogramo". French and Portuguese disagree with it on exactly these rows.
1 kg + 500 g	mass	1500	1,5 kilogramos
1 hora + 30 minutos	duration	5400	1,5 horas
2 km entre 4	length	500	0,5 kilómetros
# "por" is times and "entre" is over: Spanish spends two different words where
# English spends one preposition twice.
3 kg por 4	mass	12000	12 kilogramos
# "a" is the second conversion preposition beside "en", and the target it
# introduces is spelled like a bare quantity.
2 km a metros	length	2000	2.000 metros
# A spelled cardinal with the copulative "y" inside the tens.
mil treinta y dos	number	1032	1.032
