# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows range across the set rather than drill
# one kind: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each bridge owner names
# its operands by id string rather than importing them, so a signature whose
# operands are unregistered is unreachable rather than a build error.
3 m * 4 m	area	12	12 m²
100 km / 2 h	speed	13.88888888888888888888888889	50 km/h
2 kw * 3 h	energy	21600000	6 kilowattheures
1 kwh / 1 h	power	1000	1 kilowatt
1 kwh / 1 kw	duration	3600	1 heure
500 mo / 20 s	datarate	200000000	200 Mbps
100 mbps * 1 min	datasize	750000000	750 000 000 octets
120 bpm en ms	duration	0.5	500 millisecondes
1000 mo = 1 go	boolean	1	true
1 mile > 1 km	boolean	1	true
212 F en C	temperature	100	100 °C
30 C - 20 C	tempdelta	10	10 °C
20% de 50	number	10	10
(1 + 2) * 3	number	9	9
1 kio en o	datasize	1024	1 024 octets
-5 km	length	-5000	-5 kilomètres
# French `one` swallows every fraction below two, so the unit comes back
# *singular* where Spanish and Italian would pluralise it: "1,5 kilogramme",
# "1,5 heure", "1,5707… radian".
1 kg + 500 g	mass	1500	1,5 kilogramme
1 heure + 30 minutes	duration	5400	1,5 heure
90 degrés en radians	angle	1.570796326794896619231321692	1,5708 radian
# The group separator printed is U+202F, and the reader accepts a plain space
# for it — this row is typed with U+0020 and comes back narrow.
1 234 567 mm	length	1234.567	1 234 567 millimètres
250 ml + 1 l	volume	1.25	1 250 millilitres
# The word operators: "fois" stands alone, "divisé par" is two tokens with the
# second hanging off `keywords.by`.
3 kg fois 4	mass	12000	12 kilogrammes
2 km divisé par 4	length	500	0,5 kilomètre
# Vigesimal cardinals — ninety is four-twenties-ten — reaching the same angle
# conversion the digits reached above.
quatre-vingt-dix degrés en radians	angle	1.570796326794896619231321692	1,5708 radian
mille trente-deux	number	1032	1 032
