# input	kind	canonical	formatted
#
# The aggregator's corpus, so the rows range across the set rather than drill
# one kind: the bridges between two kinds, and the comparisons that need
# `boolean` registered beside the kind being compared. Each bridge owner names
# its operands by id string rather than importing them, so a signature whose
# operands are unregistered is unreachable rather than a build error.
3米 * 4米	area	12	12平方米
100公里 / 2小时	speed	13.88888888888888888888888889	13.888888888888888888888889m/s
2千瓦 * 3小时	energy	21600000	21,600,000J
1kwh / 1小时	power	1000	1,000W
1kwh / 1kw	duration	3600	3,600秒
500mb / 20秒	datarate	200000000	200Mbps
100mbps * 1分钟	datasize	750000000	750,000,000B
500毫秒到bpm	tempo	120	120bpm
# Spaced, alone among the rows here, and against this file's own convention.
# Unspaced, `1000mb` is four digits and two letters, which is also the Dutch
# postal format `#### @@` with its space optional — so @smartput/geo's postal
# literal claims the token as a place and the datasize reading is gone.
1000 mb = 1 gb	boolean	1	true
1英里 > 1公里	boolean	1	true
212F到C	temperature	100	100°C
30C - 20C	tempdelta	10	10°C
(1 + 2) * 3	number	9	9
1kib到b	datasize	1024	1,024B
90度到弧度	angle	1.570796326794896619231321692	1.5708弧度
-5公里	length	-5000	-5公里
# No number agreement of any kind, and no space between the number and the
# unit on either side: `Printer`'s gap is empty for this language, which is
# what makes the round trip hold.
1米	length	1	1米
5米	length	5	5米
1kg + 500克	mass	1500	1.5千克
# The myriad. Chinese counts in ten-thousands, so 万 is a magnitude word in
# its own right and 一万 is one of them, not ten of a thousand.
一万米	length	10000	10,000米
二百零五公里	length	205000	205公里
# The word operators need whitespace around them even though Chinese is
# written without any: 乘 and 除以 are matched as separate tokens. The symbol
# operators above have no such requirement.
2公里 乘 3	length	6000	6公里
10公里 除以 4	length	2500	2.5公里
# 换算 and 转换 are verbs rather than prepositions, and both introduce a
# target on their own — no space, and none needed.
2公里换算米	length	2000	2,000米
2公里转换米	length	2000	2,000米
