# input	kind	canonical	formatted
10 km	length	10000	10 kilómetros
12 pulgadas	length	0.3048	12 pulgadas
2 km en metros	length	2000	2.000 metros
1 milla en kilómetros	length	1609.344	1,609344 kilómetros
10 m + 5 km	length	5010	5.010 metros
1 km - 250 m	length	750	0,75 kilómetros
10 km * 3	length	30000	30 kilómetros
1 km / 4	length	250	0,25 kilómetros
-5 km	length	-5000	-5 kilómetros
3 pies en centímetros	length	0.9144	91,44 centímetros
un kilómetro	length	1000	1 kilómetro
doscientos cinco kilómetros	length	205000	205 kilómetros
# "." groups and "," is the decimal point, the inverse of English. Both
# directions: 1.500 mm is fifteen hundred of them, and the answer comes back
# with a comma.
1.500 mm en metros	length	1.5	1,5 metros
1,5 km	length	1500	1,5 kilómetros
1.234.567 mm	length	1234.567	1.234.567 milímetros
# Spanish agrees a fraction with the plural — "1,5 kilómetros", "0,5
# kilómetros". French next door does the opposite with the same numbers, and
# neither follows from the other.
0,5 km	length	500	0,5 kilómetros
2 km * 0,25	length	500	0,5 kilómetros
# `pie` / `pies`, the one unit here whose plural is not a bare -s on the
# singular.
1 pie	length	0.3048	1 pie
2 pies	length	0.6096	2 pies
1 yarda en centímetros	length	0.9144	91,44 centímetros
5280 pies en millas	length	1609.344	1 milla
# The word operators. "por" is `times` — the same surface Spanish uses for
# percentages — and "entre" is how Spanish says a division aloud.
2 km por 3	length	6000	6 kilómetros
10 km entre 4	length	2500	2,5 kilómetros
# "a" is the second conversion preposition, beside "en".
2 km a metros	length	2000	2.000 metros
