# input	kind	canonical	formatted
10 km	length	10000	10 chilometri
12 pollici	length	0.3048	12 pollici
2 km in metri	length	2000	2.000 metri
1 miglio in chilometri	length	1609.344	1,6093 chilometri
10 m + 5 km	length	5010	5.010 metri
1 km - 250 m	length	750	0,75 chilometri
10 km * 3	length	30000	30 chilometri
1 km / 4	length	250	0,25 chilometri
-5 km	length	-5000	-5 chilometri
3 piedi in centimetri	length	0.9144	91,44 centimetri
un chilometro	length	1000	1 chilometro
duecentocinque chilometri	length	205000	205 chilometri
1 iarda in centimetri	length	0.9144	91,44 centimetri
5280 piedi in miglia	length	1609.344	1 miglio
# "." groups and "," is the decimal point, the inverse of English, in both
# directions.
1.500 mm in metri	length	1.5	1,5 metri
1.234.567 mm	length	1234.567	1.234.567 millimetri
# Italian pluralises a fraction — "1,5 chilometri". Portuguese and French,
# with the same digits, print the singular.
1,5 km	length	1500	1,5 chilometri
0,5 metri	length	0.5	0,5 metri
# `miglio` / `miglia` — a neuter-plural survival, not the -o/-i the other seven
# units take. `iarda` / `iarde` is the feminine row beside it.
2 miglia	length	3218.688	2 miglia
2 iarde	length	1.8288	2 iarde
# Italian spells the prefix with `ch`: `chilometro`, never `kilometro`. The
# `k` spelling reads, because `units.ts` declares it, but is never printed.
1 kilometro in metri	length	1000	1.000 metri
# The word operators. "per" is `times` — the same surface Italian says a
# percentage with — and "diviso" stands alone, needing no "by" after it.
2 km per 3	length	6000	6 chilometri
10 km diviso 4	length	2500	2,5 chilometri
# "a" is the second conversion preposition, beside "in".
2 km a metri	length	2000	2.000 metri
# The `+` nobody typed: two adjacent lengths in strictly descending units are a
# sum, which is how a tape measure gets read out loud.
1 m 50 cm	length	1.5	1,5 metri
