# input	kind	canonical	formatted
10 km	length	10000	10 quilômetros
12 polegadas	length	0.3048	12 polegadas
2 km em metros	length	2000	2.000 metros
1 milha em quilômetros	length	1609.344	1,6093 quilômetro
10 m + 5 km	length	5010	5.010 metros
1 km - 250 m	length	750	0,75 quilômetro
10 km * 3	length	30000	30 quilômetros
1 km / 4	length	250	0,25 quilômetro
-5 km	length	-5000	-5 quilômetros
3 pés em centímetros	length	0.9144	91,44 centímetros
um quilômetro	length	1000	1 quilômetro
duzentos e cinco quilômetros	length	205000	205 quilômetros
1 jarda em centímetros	length	0.9144	91,44 centímetros
5280 pés em milhas	length	1609.344	1 milha
# "." groups and "," is the decimal point, Brazilian defaults in both
# directions.
1.500 mm em metros	length	1.5	1,5 metro
1.234.567 mm	length	1234.567	1.234.567 milímetros
# Portuguese counts everything below two as `one`, so a fraction takes the
# *singular*: "1,5 metro", "0,75 quilômetro". Spanish, next door and with the
# same digits, prints the plural.
1,5 km	length	1500	1,5 quilômetro
1,5 metros	length	1.5	1,5 metro
0,5 metro	length	0.5	0,5 metro
# `pé` / `pés` — the accent moves with the number, and NFKC will not bridge
# the two, so both are listed rather than derived.
1 pé	length	0.3048	1 pé
2 pés	length	0.6096	2 pés
# The European spelling reads and the Brazilian one prints: `quilómetro` in,
# `quilômetro` out. One vocabulary, two orthographies, and only one of them
# can be the printed form.
1 quilómetro	length	1000	1 quilômetro
# "vezes" is `times`. "por" is `times` too — which is why Portuguese division
# is said with "sobre" here and "dividido por" cannot parse: the "por" would
# be a second operator in a row.
2 km vezes 3	length	6000	6 quilômetros
10 km sobre 4	length	2500	2,5 quilômetros
# "para" is the second conversion preposition, beside "em".
2 km para metros	length	2000	2.000 metros
# The `+` nobody typed: two adjacent lengths in strictly descending units are a
# sum, which is how a tape measure gets read out loud.
1 m 50 cm	length	1.5	1,5 metro
