# input	kind	canonical	formatted
1 kg + 500 g	mass	1500	1.5 kilograms
3 lbs	mass	1360.77711	3 pounds
1,500 g	mass	1500	1,500 grams
1 t in kg	mass	1000000	1,000 kilograms
16 oz in lb	mass	453.59237	1 pound
1 kg in g	mass	1000	1,000 grams
2 kg - 500 g	mass	1500	1.5 kilograms
3 kg * 4	mass	12000	12 kilograms
1 t / 8	mass	125000	0.125 tonnes
-2 kg	mass	-2000	-2 kilograms
500 mg in g	mass	0.5	0.5 grams
one kilogram	mass	1000	1 kilogram
2.5 tonnes in kg	mass	2500000	2,500 kilograms
1 lb in oz	mass	453.59237	16 ounces
1.5 kilograms	mass	1500	1.5 kilograms
