# input	kind	canonical	formatted
1 kg + 500 g	mass	1500	1,5 kilogramos
3 libras	mass	1360.77711	3 libras
1 t en kilogramos	mass	1000000	1.000 kilogramos
16 onzas en libras	mass	453.59237	1 libra
1 kg en gramos	mass	1000	1.000 gramos
2 kg - 500 g	mass	1500	1,5 kilogramos
3 kg * 4	mass	12000	12 kilogramos
1 t / 8	mass	125000	0,125 toneladas
-2 kg	mass	-2000	-2 kilogramos
500 mg en gramos	mass	0.5	0,5 gramos
un kilogramo	mass	1000	1 kilogramo
doscientos cinco kilogramos	mass	205000	205 kilogramos
2,5 toneladas en kilogramos	mass	2500000	2.500 kilogramos
1 libra en onzas	mass	453.59237	16 onzas
# "." groups and "," is the decimal point, the inverse of English. Both
# directions: 1.500 g is fifteen hundred of them, and the answer comes back
# with a comma.
1.500 g en kilogramos	mass	1500	1,5 kilogramos
1,5 kg	mass	1500	1,5 kilogramos
1.234.567 mg	mass	1234.567	1.234.567 miligramos
# Spanish agrees a fraction with the plural — "1,5 kilogramos", "0,5
# kilogramos". French and Portuguese print the singular for the same digits.
0,5 kg	mass	500	0,5 kilogramos
2 kg * 0,25	mass	500	0,5 kilogramos
# The two units Spanish writes out rather than abbreviates, both feminine and
# both taking a plain -s plural.
1 onza	mass	28.349523125	1 onza
2 onzas	mass	56.69904625	2 onzas
1 libra	mass	453.59237	1 libra
1 kilogramo	mass	1000	1 kilogramo
2 kilogramos	mass	2000	2 kilogramos
# `kilo` is the clipping every Spanish speaker says at a market counter, and
# the full word is what comes back.
2 kilos	mass	2000	2 kilogramos
# The word operators. "por" is `times` — the same surface Spanish says a
# percentage with — and "entre" is how Spanish reads a division aloud.
2 kg por 3	mass	6000	6 kilogramos
10 kg entre 4	mass	2500	2,5 kilogramos
# "a" is the second conversion preposition, beside "en".
2 kg a gramos	mass	2000	2.000 gramos
