# input	kind	canonical	formatted
1 kg + 500 g	mass	1500	1,5 quilograma
3 libras	mass	1360.77711	3 libras
1 t em quilogramas	mass	1000000	1.000 quilogramas
16 onças em libras	mass	453.59237	1 libra
1 kg em gramas	mass	1000	1.000 gramas
2 kg - 500 g	mass	1500	1,5 quilograma
3 kg * 4	mass	12000	12 quilogramas
1 t / 8	mass	125000	0,125 tonelada
-2 kg	mass	-2000	-2 quilogramas
500 mg em gramas	mass	0.5	0,5 grama
um quilograma	mass	1000	1 quilograma
duzentos e cinco quilogramas	mass	205000	205 quilogramas
2,5 toneladas em quilogramas	mass	2500000	2.500 quilogramas
1 libra em onças	mass	453.59237	16 onças
# "." groups and "," is the decimal point, Brazilian defaults in both
# directions.
1.500 g em quilogramas	mass	1500	1,5 quilograma
1.234.567 mg	mass	1234.567	1.234.567 miligramas
# Portuguese counts everything below two as `one`, so a fraction takes the
# *singular*: "1,5 grama", "0,125 tonelada". Spanish, next door and with the
# same digits, prints the plural.
1,5 kg	mass	1500	1,5 quilograma
1,5 gramas	mass	1.5	1,5 grama
0,5 grama	mass	0.5	0,5 grama
# `onça` carries a cedilla and the ASCII spelling is listed beside it, because
# nothing in the reader bridges the two.
1 onca	mass	28.349523125	1 onça
2 onças	mass	56.69904625	2 onças
1 libra	mass	453.59237	1 libra
2 libras	mass	907.18474	2 libras
# `quilo` is the clipping, and the full word is what comes back.
2 quilos	mass	2000	2 quilogramas
# "vezes" is `times`. "por" is `times` too — which is why Portuguese division
# is said with "sobre" here and "dividido por" cannot parse: the "por" would
# be a second operator in a row.
2 kg vezes 3	mass	6000	6 quilogramas
10 kg sobre 4	mass	2500	2,5 quilogramas
# "para" is the second conversion preposition, beside "em".
2 kg para gramas	mass	2000	2.000 gramas
# The `+` nobody typed: two adjacent masses in strictly descending units are a
# sum, which is how a recipe and a scale readout get written.
1 kg 200 g	mass	1200	1,2 quilograma
