# input	kind	canonical	formatted
1 + 1	number	2	2
10 - 4	number	6	6
6 * 7	number	42	42
10 / 4	number	2.5	2.5
-5	number	-5	-5
(1 + 2) * 3	number	9	9
100 / 3	number	33.33333333333333333333333333	33.333333333333333333333333
# The separators are English's — "," for groups, "." for the decimal.
1,234,567	number	1234567	1,234,567
0.1 + 0.2	number	0.3	0.3
# No agreement anywhere, and no leading 一 on a bare scale word: Japanese
# writes 百 and 千 for a hundred and a thousand where Chinese writes 一百 and
# 一千. Both languages read the other's spelling, and only one writes it.
一	number	1	1
十六	number	16	16
二十一	number	21	21
百	number	100	100
千三十二	number	1032	1,032
九百九十九	number	999	999
零	number	0	0
# The myriad, as in Chinese: 万 is a magnitude of its own, so 十万 is ten
# myriads rather than a hundred thousands.
一万	number	10000	10,000
十万	number	100000	100,000
百万	number	1000000	1,000,000
一万 + 1	number	10001	10,001
# Word operators — native verbs, with the English loans beside them. All of
# them need whitespace around them even though Japanese writes none of its
# own: "6掛ける7" lexes as a number followed by the unknown unit "掛ける7".
10 足す 5	number	15	15
10 プラス 5	number	15	15
10 引く 4	number	6	6
6 掛ける 7	number	42	42
10 割る 4	number	2.5	2.5
