# input	kind	canonical	formatted
1 + 1	number	2	2
10 - 4	number	6	6
6 * 7	number	42	42
10 / 4	number	2.5	2.5
-5	number	-5	-5
(1 + 2) * 3	number	9	9
100 / 3	number	33.33333333333333333333333333	33.333333333333333333333333
# The separators are English's — "," for groups, "." for the decimal — which
# groups by three, while the cardinals below count in ten-thousands.
1,234,567	number	1234567	1,234,567
0.1 + 0.2	number	0.3	0.3
# No agreement of any kind: nothing in the language marks number, so a cardinal
# is a pure positional composition and every row below is the composition and
# nothing else.
一	number	1	1
十六	number	16	16
二十一	number	21	21
# 零 is the placeholder for a skipped power, not a digit anyone counts with:
# 二百零五 is two hundred, no tens, five.
二百零五	number	205	205
一千零三十二	number	1032	1,032
九百九十九	number	999	999
零	number	0	0
# 两 is the form of 2 used in front of a scale word, where 二 is the counting
# form. Both read.
两百	number	200	200
# The myriad. Chinese counts in ten-thousands, so 万 is a magnitude word in its
# own right — 一万 is one of them, not ten of a thousand — and 十万 and 一百万
# are built on top of it rather than on 千.
一万	number	10000	10,000
十万	number	100000	100,000
一百万	number	1000000	1,000,000
一万 + 1	number	10001	10,001
# Word operators need whitespace around them even though Chinese writes none:
# "6乘7" lexes as a number followed by the unknown unit "乘7". The `*` and `/`
# symbols have no such requirement.
10 加 5	number	15	15
10 减 4	number	6	6
6 乘 7	number	42	42
10 除以 4	number	2.5	2.5
