# input	kind	canonical	formatted
20%	percent	0.2	20%
20パーセント	percent	0.2	20%
50 + 20%	number	60	60
50 - 10%	number	45	45
10% + 5%	percent	0.15	15%
100% - 40%	percent	0.6	60%
50 * 10%	percent	5	500%
10% / 2	percent	0.05	5%
-10%	percent	-0.1	-10%
十パーセント	percent	0.1	10%
0.5をパーセント	percent	0.5	50%
5 / 50をパーセント	percent	0.1	10%
# "," groups and "." is the decimal point.
2.5%	percent	0.025	2.5%
1,000%	percent	10	1,000%
100 * 20%	percent	20	2,000%
# No number agreement anywhere, and no space between the number and the unit on
# input or output. The katakana loan is the one word this file adds; 百分率 is
# the name of the ratio, not a unit word, and is not claimed.
1パーセント	percent	0.01	1%
1000パーセント	percent	10	1,000%
# 一万 is the myriad — ten thousand, one word.
一万パーセント	percent	100	10,000%
# The case particle を is glued to what precedes it and still separates, which
# is what makes the conversion readable without a space.
0.5を%	percent	0.5	50%
20パーセントから%	percent	0.2	20%
# The word operators need whitespace around them even though Japanese writes
# none; the symbols do not.
50 かける 10%	percent	5	500%
10% わる 2	percent	0.05	5%
10% 足す 5%	percent	0.15	15%
100% 引く 40%	percent	0.6	60%
