# input	kind	canonical	formatted
20%	percent	0.2	20%
20퍼센트	percent	0.2	20%
50 + 20%	number	60	60
50 - 10%	number	45	45
10% + 5%	percent	0.15	15%
100% - 40%	percent	0.6	60%
50 * 10%	percent	5	500%
10% / 2	percent	0.05	5%
-10%	percent	-0.1	-10%
십 퍼센트	percent	0.1	10%
0.5를 퍼센트	percent	0.5	50%
5 / 50을 퍼센트	percent	0.1	10%
# "," groups and "." is the decimal point.
2.5%	percent	0.025	2.5%
1,000%	percent	10	1,000%
100 * 20%	percent	20	2,000%
# No number agreement anywhere, and no space needed between the number and the
# unit. 퍼센트 is the loan and 프로 the clipped colloquial one, both post-numeral,
# both read.
1000퍼센트	percent	10	1,000%
20프로	percent	0.2	20%
# A spelled cardinal will not carry a glued Hangul unit — "십퍼센트" does not
# parse — so the spelled row above is spaced, and the digits below are not.
십%	percent	0.1	10%
만%	percent	100	10,000%
# The object particle separates when it is spaced, and 에서 reaches the same
# conversion. A particle glued to a Hangul unit word does not separate, so
# "20퍼센트를 %" has no row here.
0.5를 %	percent	0.5	50%
0.5에서 퍼센트	percent	0.5	50%
# The word operators, each one token, whitespace-separated.
50 곱하기 10%	percent	5	500%
10% 나누기 2	percent	0.05	5%
10% 더하기 5%	percent	0.15	15%
100% 빼기 40%	percent	0.6	60%
