# input	kind	canonical	formatted
20%	percent	0.2	20%
50 + 20%	number	60	60
50 - 10%	number	45	45
10% + 5%	percent	0.15	15%
100% - 40%	percent	0.6	60%
50 * 10%	percent	5	500%
10% / 2	percent	0.05	5%
-10%	percent	-0.1	-10%
0.5到%	percent	0.5	50%
5 / 50到%	percent	0.1	10%
# "," groups and "." is the decimal point, English's pair.
2.5%	percent	0.025	2.5%
1,000%	percent	10	1,000%
100 * 20%	percent	20	2,000%
# Chinese adds no word to this unit and the Latin aliases are the whole of what
# a user types. 百分之 goes in front of the number — 百分之二十 — where an alias is
# a token that follows one; 成 and 折 are counted in tenths and are units this
# kind does not declare. `zh.ts` records all three findings.
20 percent	percent	0.2	20%
20 pct	percent	0.2	20%
# The cardinals are reachable all the same, because the unit here is a sign and
# not a Han word. 一万 is the myriad — ten thousand.
二十%	percent	0.2	20%
一万%	percent	100	10,000%
# Three of the four conversion keywords, glued to the number with no space, as
# Chinese writes.
0.5为%	percent	0.5	50%
0.5换算%	percent	0.5	50%
0.5转换%	percent	0.5	50%
# The word operators need whitespace around them even though Chinese writes
# none — "20%乘3" does not parse. The symbols do not.
50 乘 10%	percent	5	500%
10% 除以 2	percent	0.05	5%
10% 加 5%	percent	0.15	15%
100% 减 40%	percent	0.6	60%
