# input	kind	canonical	formatted
1 kW in W	power	1000	1.000 Watt
1 MW in kW	power	1000000	1.000 Kilowatt
2,5 kW	power	2500	2,5 Kilowatt
500 W + 500 W	power	1000	1.000 Watt
2 kW - 500 W	power	1500	1,5 Kilowatt
3 kW * 2	power	6000	6 Kilowatt
1 MW / 4	power	250000	0,25 Megawatt
-1 kW	power	-1000	-1 Kilowatt
1000 W in kW	power	1000	1 Kilowatt
ein Kilowatt	power	1000	1 Kilowatt
zweihundertfünf Kilowatt	power	205000	205 Kilowatt
1 PS in W	power	745.69987158227022	745,6999 Watt
100 PS in kW	power	74569.987158227022	74,57 Kilowatt
# "." groups and "," is the decimal point, the reverse of English.
1.234.567 W	power	1234567	1.234.567 Watt
1.500.000 W in MW	power	1500000	1,5 Megawatt
# Watt is a neuter measure noun and does not move after a numeral, so 1 and 5
# take the same word. Every SI unit in this kind is built on it and inherits
# that, which leaves the whole table with one printed form apiece.
1 Watt	power	1	1 Watt
5 Watt	power	5	5 Watt
# The exception, and the only unit here with a number axis: Pferdestärke is
# feminine and takes a plural. `PS` is what a German spec sheet prints, and it
# is the alias, but the word is what comes back.
1 PS	power	745.69987158227022	1 Pferdestärke
2 PS	power	1491.39974316454044	2 Pferdestärken
5 Pferdestärken	power	3728.4993579113511	5 Pferdestärken
# A conversion target carries no magnitude, and German names it in the plural.
2 kW in Pferdestärken	power	2000	2,682 Pferdestärken
# "nach" beside "in" as a conversion preposition. The dative it governs is read
# — `forms` carries a dat- axis — and never printed.
2 kW nach Watt	power	2000	2.000 Watt
# The word operators. "mal" stands alone; division is two tokens, and both
# "geteilt" and "dividiert" hang off "durch".
2 kW mal 3	power	6000	6 Kilowatt
1 MW geteilt durch 4	power	250000	0,25 Megawatt
1 MW dividiert durch 4	power	250000	0,25 Megawatt
