# input	kind	canonical	formatted
1 kW en W	power	1000	1.000 vatios
1 MW en kW	power	1000000	1.000 kilovatios
2,5 kW	power	2500	2,5 kilovatios
500 W + 500 W	power	1000	1.000 vatios
2 kW - 500 W	power	1500	1,5 kilovatios
3 kW * 2	power	6000	6 kilovatios
1 MW / 4	power	250000	0,25 megavatios
-1 kW	power	-1000	-1 kilovatio
1000 W en kW	power	1000	1 kilovatio
un kilovatio	power	1000	1 kilovatio
doscientos cinco kilovatios	power	205000	205 kilovatios
1 hp en W	power	745.69987158227022	745,6999 vatios
100 hp en kW	power	74569.987158227022	74,57 kilovatios
# "." groups and "," is the decimal point.
1.234.567 W	power	1234567	1.234.567 vatios
1.500.000 W en MW	power	1500000	1,5 megavatios
# The unit is spelled with a v — vatio, not watt — and it pluralises. A
# fraction takes the plural: "1,5 kilovatios", never "1,5 kilovatio".
1 vatio	power	1	1 vatio
5 vatios	power	5	5 vatios
1,5 kW	power	1500	1,5 kilovatios
# The horsepower has no Spanish word in this vocabulary, only the symbol. With
# no `forms` entry the renderer falls through to it, and the default template
# sets a symbol tight against the number.
1 hp	power	745.69987158227022	1 hp
2 kW en hp	power	2000	2,682 hp
# "por" is times, so division cannot borrow it and "entre" is what says over.
2 kW por 3	power	6000	6 kilovatios
1 MW entre 4	power	250000	0,25 megavatios
# "a" beside "en" as a conversion preposition.
2 kW a vatios	power	2000	2.000 vatios
# The word operators, both bare.
500 W más 500 W	power	1000	1.000 vatios
2 kW menos 500 W	power	1500	1,5 kilovatios
