# input	kind	canonical	formatted
1 kW ke W	power	1000	1.000 watt
1 MW ke kW	power	1000000	1.000 kilowatt
2,5 kW	power	2500	2,5 kilowatt
500 W + 500 W	power	1000	1.000 watt
2 kW - 500 W	power	1500	1,5 kilowatt
3 kW * 2	power	6000	6 kilowatt
1 MW / 4	power	250000	0,25 megawatt
-1 kW	power	-1000	-1 kilowatt
1000 W ke kW	power	1000	1 kilowatt
1 hp ke W	power	745.69987158227022	745,6999 watt
100 hp ke kW	power	74569.987158227022	74,57 kilowatt
# No spelled-cardinal row: Indonesian is the one language of the seventeen with
# no cardinals file in core, so "satu kilowatt" does not parse and there is
# nothing honest to record for it.
# "." groups and "," is the decimal point, Dutch's pair.
1.234.567 W	power	1234567	1.234.567 watt
1.500.000 W ke MW	power	1500000	1,5 megawatt
# No plural at all. `forms` has a single `other` key on every unit, which is
# what a language with no number axis needs and all it needs.
1 watt	power	1	1 watt
5 watt	power	5	5 watt
1,5 kilowatt	power	1500	1,5 kilowatt
# The horsepower is symbol-only, and the default template sets a symbol tight
# against the number.
1 hp	power	745.69987158227022	1 hp
2 hp	power	1491.39974316454044	2 hp
# "dalam" beside "ke".
2 kW dalam watt	power	2000	2.000 watt
# The word operators, all bare.
2 kW kali 3	power	6000	6 kilowatt
1 MW bagi 4	power	250000	0,25 megawatt
500 W tambah 500 W	power	1000	1.000 watt
2 kW kurang 500 W	power	1500	1,5 kilowatt
