# input	kind	canonical	formatted
1キロワットをワット	power	1000	1,000W
1MWをkW	power	1000000	1,000kW
2.5キロワット	power	2500	2.5kW
500ワット + 500ワット	power	1000	1,000W
2キロワット - 500ワット	power	1500	1.5kW
3キロワット * 2	power	6000	6kW
1MW / 4	power	250000	0.25MW
-1キロワット	power	-1000	-1kW
1000ワットをキロワット	power	1000	1kW
二百五キロワット	power	205000	205kW
1馬力をワット	power	745.69987158227022	745.6999W
100馬力をキロワット	power	74569.987158227022	74.57kW
1,234,567ワット	power	1234567	1,234,567W
# No number agreement, and no space between the number and the unit.
1ワット	power	1	1W
5ワット	power	5	5W
# The katakana loans read and never print: every SI unit here carries a symbol
# and no `forms` entry, so "キロワット" comes back as "kW".
1キロワット	power	1000	1kW
# 馬力 is the exception, and not because it has a form — its *symbol* is the
# Japanese word, so the same fallback that prints "kW" prints 馬力.
1馬力	power	745.69987158227022	1馬力
5hp	power	3728.4993579113511	5馬力
# The case particles を and から are glued to the unit word and separate off it.
500ワットからキロワット	power	500	0.5kW
# The word operators need whitespace around them even though Japanese is
# written without any. The symbol operators above do not.
2キロワット かける 3	power	6000	6kW
1MW わる 4	power	250000	0.25MW
500ワット 足す 500ワット	power	1000	1,000W
2キロワット 引く 500ワット	power	1500	1.5kW
# The myriad: 万 is a magnitude word in its own right.
一万ワット	power	10000	10,000W
