# input	kind	canonical	formatted
1 kW in W	power	1000	1.000 watt
1 MW in kW	power	1000000	1.000 kilowatt
2,5 kW	power	2500	2,5 kilowatt
500 W + 500 W	power	1000	1.000 watt
2 kW - 500 W	power	1500	1,5 kilowatt
3 kW * 2	power	6000	6 kilowatt
1 MW / 4	power	250000	0,25 megawatt
-1 kW	power	-1000	-1 kilowatt
1000 W in kW	power	1000	1 kilowatt
een kilowatt	power	1000	1 kilowatt
tweehonderdvijf kilowatt	power	205000	205 kilowatt
100 pk in kW	power	74569.987158227022	74,57 kilowatt
# "." groups and "," is the decimal point, German's pair.
1.234.567 W	power	1234567	1.234.567 watt
1.500.000 W in MW	power	1500000	1,5 megawatt
# The SI units do not move on the number axis: `one` and `other` are the same
# word, and a fraction gets it too.
1 watt	power	1	1 watt
5 watt	power	5	5 watt
1,5 kilowatt	power	1500	1,5 kilowatt
# The horsepower is the one unit that does move. "pk" is the printed
# abbreviation and the alias; "paardenkracht" is the word, and it takes -en.
1 pk	power	745.69987158227022	1 paardenkracht
2 pk	power	1491.39974316454044	2 paardenkrachten
5 paardenkrachten	power	3728.4993579113511	5 paardenkrachten
2 kW in paardenkracht	power	2000	2,682 paardenkrachten
# Two words for times, and a two-token division.
2 kW maal 3	power	6000	6 kilowatt
2 kW keer 3	power	6000	6 kilowatt
1 MW gedeeld door 4	power	250000	0,25 megawatt
# "naar" beside "in". Dutch has no case, so the target is spelled exactly as a
# bare quantity would be.
2 kW naar watt	power	2000	2.000 watt
