# input	kind	canonical	formatted
30 usd	money	27.27272727272727272727272727	$30.00
30 usd - 10 eur	money	17.27272727272727272727272727	$19.00
100 usd in uah	money	90.90909090909090909090909091	₴4,136.36
5 eur + 5 eur	money	10	€10.00
-10 usd	money	-9.090909090909090909090909091	-$10.00
10 usd in eur	money	9.090909090909090909090909091	€9.09
10 eur * 3	money	30	€30.00
100 eur / 4	money	25	€25.00
(1 usd / 3) * 3	money	0.909090909090909090909090909	$1.00
50 uah + 50 uah	money	2.197802197802197802197802198	₴100.00
100 uah in usd	money	2.197802197802197802197802198	$2.42
