# input	kind	canonical	formatted
30 usd	money	27.27272727272727272727272727	$30,00
2 euro	money	2	€2,00
100 dollari in euro	money	90.90909090909090909090909091	€90,91
5 euro più 5 euro	money	10	€10,00
30 dollari meno 10 euro	money	17.27272727272727272727272727	$19,00
2 euro per 3	money	6	€6,00
10 euro diviso 4	money	2.5	€2,50
-5 euro	money	-5	-€5,00
due euro	money	2	€2,00
(1 usd / 3) * 3	money	0.909090909090909090909090909	$1,00
# "." groups and "," carries the decimal, the German pair rather than the
# English one.
1,5 euro	money	1.5	€1,50
1.000,50 euro	money	1000.5	€1.000,50
1.234.567 uah in euro	money	27133.34065934065934065934066	€27.133,34
1000 euro	money	1000	€1.000,00
# "euro" is invariant in Italian and every other noun here is not: one
# dollaro, two dollari, and the fraction takes the plural as in Spanish.
1 dollaro	money	0.9090909090909090909090909091	$1,00
2 dollari	money	1.818181818181818181818181818	$2,00
1,5 dollari	money	1.363636363636363636363636364	$1,50
# The feminine pair, whose plural is -e rather than -i, and the -co stem
# whose plural is spelled with an h to keep the hard consonant.
1 grivnia	money	0.02197802197802197802197802198	₴1,00
100 grivnie	money	2.197802197802197802197802198	₴100,00
3 sterline	money	3.566333808844507845934379457	£3,00
5 franchi	money	5.31914893617021276595744681	CHF5,00
# Two loans Italian left alone: neither takes an Italian plural.
1000 yen	money	5.882352941176470588235294118	¥1.000
5 zloty	money	1.168224299065420560747663552	zł5,00
# "in" and "a" both introduce a target. "per" is multiply — so a Romance
# language's word for "by" is claimed here, exactly as "por" is in Portuguese
# — and "diviso" is bare, with no second token after it.
100 dollari a euro	money	90.90909090909090909090909091	€90,91
# The accent is a spelling: "piu" reads as "più".
5 euro piu 5 euro	money	10	€10,00
