# input	kind	canonical	formatted
30 usd	money	27.27272727272727272727272727	$30,00
2 euros	money	2	€2,00
100 dólares em euros	money	90.90909090909090909090909091	€90,91
5 euros mais 5 euros	money	10	€10,00
30 dólares menos 10 euros	money	17.27272727272727272727272727	$19,00
2 euros vezes 3	money	6	€6,00
10 euros sobre 4	money	2.5	€2,50
-5 euros	money	-5	-€5,00
dois euros	money	2	€2,00
(1 usd / 3) * 3	money	0.909090909090909090909090909	$1,00
# "." groups and "," carries the decimal.
1,5 euros	money	1.5	€1,50
1.000,50 euros	money	1000.5	€1.000,50
1.234.567 uah em euros	money	27133.34065934065934065934066	€27.133,34
1000 euros	money	1000	€1.000,00
# The singular and the plural, and the fraction taking the singular — the
# Iberian pair disagree here, Spanish writing "1,5 dólares" for the same
# amount. Only the reader sees either word: `money` prints the currency sign.
1 dólar	money	0.9090909090909090909090909091	$1,00
2 dólares	money	1.818181818181818181818181818	$2,00
1,5 dólar	money	1.363636363636363636363636364	$1,50
# The words Portuguese coined rather than borrowed. "iene" is the yen
# respelled to Portuguese spelling rules, which is why "yen" is an alias and
# "ienes" is the word.
3 libras	money	3.566333808844507845934379457	£3,00
5 francos	money	5.31914893617021276595744681	CHF5,00
1000 ienes	money	5.882352941176470588235294118	¥1.000
100 hryvnias	money	2.197802197802197802197802198	₴100,00
5 zlotis	money	1.168224299065420560747663552	zł5,00
# "em" and "para" both introduce a target.
100 dólares para euros	money	90.90909090909090909090909091	€90,91
# "por" is multiply here, not divide, which is why "dividido por 4" cannot
# parse — two operators in a row — and why Portuguese division is "sobre".
2 euros por 3	money	6	€6,00
10 euros dividido 4	money	2.5	€2,50
