# input	kind	canonical	formatted
120 kph	speed	33.33333333333333333333333334	120 كم/س
100 kph إلى mph	speed	27.77777777777777777777777778	62.137119223733396961743418 ميل/س
60 mph إلى kph	speed	26.8224	96.56064 كم/س
1 knot إلى kph	speed	0.5144444444444444444444444444	1.852 كم/س
10 mps إلى kph	speed	10	36 كم/س
50 kph + 50 kph	speed	27.77777777777777777777777778	100 كم/س
100 kph - 20 kph	speed	22.22222222222222222222222222	80 كم/س
30 kph * 2	speed	16.66666666666666666666666667	60 كم/س
100 kph / 4	speed	6.944444444444444444444444445	25 كم/س
-10 kph	speed	-2.777777777777777777777777778	-10 كم/س
100 كم / 2 س	speed	13.88888888888888888888888889	13.888888888888888888888889 م/ث
عشرون عقدة	speed	10.28888888888888888888888889	20 عقدة
3.6 kph إلى mps	speed	1	1 م/ث
# Latin digits, "," for groups and "." for the decimal, all of it inside
# right-to-left text.
1,234 kph	speed	342.7777777777777777777777778	1,234 كم/س
# "في" is the Arabic for both "in" and "times"; this locale claims it for the
# conversion, which leaves "ضرب" to multiply with. `over` is two tokens
# hanging off "على".
30 kph ضرب 2	speed	16.66666666666666666666666667	60 كم/س
100 kph قسمة على 4	speed	6.944444444444444444444444445	25 كم/س
# Six plural categories, the most any language in this set has. CLDR's Arabic
# rule: 0 zero, 1 one, 2 two, 3-10 few, 11-99 many, and everything else —
# 100, and every fraction — other. The category is read off the *result*.
0 عقدة	speed	0	0 عقدة
1 عقدة	speed	0.5144444444444444444444444444	1 عقدة
2 عقدة	speed	1.028888888888888888888888889	2 عقدتان
3 عقدة	speed	1.543333333333333333333333333	3 عقد
11 عقدة	speed	5.658888888888888888888888888	11 عقدة
100 عقدة	speed	51.44444444444444444444444444	100 عقدة
1.5 عقدة	speed	0.7716666666666666666666666666	1.5 عقدة
# عقد is a broken plural, an internal reshaping of عقدة rather than a suffix.
# No stripper could derive it, which is why it is written out.
5 عقد	speed	2.572222222222222222222222222	5 عقد
# The bridge, in Arabic words.
100 كيلومتر / 2 ساعة	speed	13.88888888888888888888888889	13.888888888888888888888889 م/ث
