# input	kind	canonical	formatted
100 km / 2 h	speed	13.88888888888888888888888889	13.888888888888888888888889m/s
100 kph in mph	speed	27.77777777777777777777777778	62.137119223733396961743418mph
60 mph in kph	speed	26.8224	96.56064kph
1 knot in kph	speed	0.5144444444444444444444444444	1.852kph
10 mps in kph	speed	10	36kph
50 kph + 50 kph	speed	27.77777777777777777777777778	100kph
100 kph - 20 kph	speed	22.22222222222222222222222222	80kph
30 kph * 2	speed	16.66666666666666666666666667	60kph
100 kph / 4	speed	6.944444444444444444444444445	25kph
-10 kph	speed	-2.777777777777777777777777778	-10kph
1 km / 1 min	speed	16.66666666666666666666666667	16.666666666666666666666667m/s
one kph	speed	0.2777777777777777777777777778	1kph
3.6 kph in mps	speed	1	1m/s
120 kph	speed	33.33333333333333333333333334	120kph
5 mps	speed	5	5m/s
