# input	kind	canonical	formatted
120 kph	speed	33.33333333333333333333333334	120km/h
100 kph in mph	speed	27.77777777777777777777777778	62,137119223733396961743418mph
60 mph in kph	speed	26.8224	96,56064km/h
1 knot in kph	speed	0.5144444444444444444444444444	1,852km/h
10 mps in kph	speed	10	36km/h
50 kph + 50 kph	speed	27.77777777777777777777777778	100km/h
100 kph - 20 kph	speed	22.22222222222222222222222222	80km/h
30 kph * 2	speed	16.66666666666666666666666667	60km/h
100 kph / 4	speed	6.944444444444444444444444445	25km/h
-10 kph	speed	-2.777777777777777777777777778	-10km/h
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889m/s
un kph	speed	0.2777777777777777777777777778	1km/h
3,6 kph in mps	speed	1	1m/s
# "." groups and "," is the decimal point.
1.234 kph	speed	342.7777777777777777777777778	1.234km/h
# "per" is `times` and "diviso" is a bare `over`, no particle after it. The
# same trap Spanish sets with "por": "diviso per" is two operators.
30 kph per 2	speed	16.66666666666666666666666667	60km/h
100 kph diviso 4	speed	6.944444444444444444444444445	25km/h
# "a" is the second conversion preposition beside "in".
100 kph a mph	speed	27.77777777777777777777777778	62,137119223733396961743418mph
# nodo/nodi, and the fraction takes the plural as it does in Spanish.
1 nodo	speed	0.5144444444444444444444444444	1 nodo
2 nodi	speed	1.028888888888888888888888889	2 nodi
1,5 nodi	speed	0.7716666666666666666666666666	1,5 nodi
venti nodi	speed	10.28888888888888888888888889	20 nodi
# "kn" reads and never prints: the forms table wins over the symbol.
1 kn	speed	0.5144444444444444444444444444	1 nodo
# The bridge, in Italian words. "chilometro" is spelled with `ch`.
100 chilometri / 2 ore	speed	13.88888888888888888888888889	13,888888888888888888888889m/s
