# input	kind	canonical	formatted
120 kph	speed	33.33333333333333333333333334	120km/h
100 kphをmph	speed	27.77777777777777777777777778	62.1371mph
60 mphをkph	speed	26.8224	96.5606km/h
1 knotをkph	speed	0.5144444444444444444444444444	1.852km/h
10 mpsをkph	speed	10	36km/h
50 kph + 50 kph	speed	27.77777777777777777777777778	100km/h
100 kph - 20 kph	speed	22.22222222222222222222222222	80km/h
30 kph * 2	speed	16.66666666666666666666666667	60km/h
100 kph / 4	speed	6.944444444444444444444444445	25km/h
-10 kph	speed	-2.777777777777777777777777778	-10km/h
100キロメートル / 2時間	speed	13.88888888888888888888888889	50km/h
一 kph	speed	0.2777777777777777777777777778	1km/h
3.6 kphをmps	speed	1	1m/s
# The separators are English's — "," for groups, "." for the decimal.
1,234 kph	speed	342.7777777777777777777777778	1,234km/h
# Word operators need whitespace around them even though Japanese writes
# none. The case particles do not: を and から glue straight onto the unit.
30 kph かける 2	speed	16.66666666666666666666666667	60km/h
100 kph 割る 4	speed	6.944444444444444444444444445	25km/h
100 kphからmph	speed	27.77777777777777777777777778	62.1371mph
# No number agreement: the knot has one printed form, and it is the katakana
# loan rather than the "kt" the symbol carries.
1ノット	speed	0.5144444444444444444444444444	1ノット
5ノット	speed	2.572222222222222222222222222	5ノット
1.5ノット	speed	0.7716666666666666666666666666	1.5ノット
二十ノット	speed	10.28888888888888888888888889	20ノット
100 kphをノット	speed	27.77777777777777777777777778	53.9957ノット
# The bridge with no spaces at all — the slash is enough of a boundary.
100キロメートル/2時間	speed	13.88888888888888888888888889	50km/h
# The printed symbol read back as arithmetic. A different path to the same
# speed as "120 kph" above and a different last digit: the ratio table
# multiplies where the bridge divides.
120km/h	speed	33.33333333333333333333333333	120km/h
