# input	kind	canonical	formatted
120 kph	speed	33.33333333333333333333333334	120 km/h
100 kph em mph	speed	27.77777777777777777777777778	62,137119223733396961743418 mi/h
60 mph em kph	speed	26.8224	96,56064 km/h
1 knot em kph	speed	0.5144444444444444444444444444	1,852 km/h
10 mps em kph	speed	10	36 km/h
50 kph + 50 kph	speed	27.77777777777777777777777778	100 km/h
100 kph - 20 kph	speed	22.22222222222222222222222222	80 km/h
30 kph * 2	speed	16.66666666666666666666666667	60 km/h
100 kph / 4	speed	6.944444444444444444444444445	25 km/h
-10 kph	speed	-2.777777777777777777777777778	-10 km/h
100 km / 2 h	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
um kph	speed	0.2777777777777777777777777778	1 km/h
3,6 kph em mps	speed	1	1 m/s
# "." groups and "," is the decimal point.
1.234 kph	speed	342.7777777777777777777777778	1.234 km/h
# "vezes" and "por" are both `times`, which is what leaves "sobre" to carry
# the division: "dividido por" puts two operators in a row and does not parse.
30 kph vezes 2	speed	16.66666666666666666666666667	60 km/h
100 kph sobre 4	speed	6.944444444444444444444444445	25 km/h
# "para" is the second conversion preposition beside "em".
100 kph para mph	speed	27.77777777777777777777777778	62,137119223733396961743418 mi/h
# Portuguese `one` covers zero as well as one — CLDR's rule is i = 0..1 — so
# a count of none takes the singular. No other language here prints it that
# way.
0 nós	speed	0	0 nó
# The fraction takes the singular, as it does in French and against Spanish
# and Italian. Two Iberian languages, opposite answers about the same number.
1 nó	speed	0.5144444444444444444444444444	1 nó
2 nós	speed	1.028888888888888888888888889	2 nós
1,5 nó	speed	0.7716666666666666666666666666	1,5 nó
vinte nós	speed	10.28888888888888888888888889	20 nós
# The bridge. The European spelling of the kilometre reads; the Brazilian one
# is what `@smartput/length` prints, and neither survives to the output here
# because a speed comes back in metres per second.
100 quilómetros / 2 horas	speed	13.88888888888888888888888889	13,888888888888888888888889 m/s
