# input	kind	canonical	formatted
120 kph	speed	33.33333333333333333333333334	120 км/ч
100 kph в mph	speed	27.77777777777777777777777778	62,1371 миль/ч
60 mph в kph	speed	26.8224	96,5606 км/ч
1 knot в kph	speed	0.5144444444444444444444444444	1,852 км/ч
10 mps в kph	speed	10	36 км/ч
50 kph + 50 kph	speed	27.77777777777777777777777778	100 км/ч
100 kph - 20 kph	speed	22.22222222222222222222222222	80 км/ч
30 kph * 2	speed	16.66666666666666666666666667	60 км/ч
100 kph / 4	speed	6.944444444444444444444444445	25 км/ч
-10 kph	speed	-2.777777777777777777777777778	-10 км/ч
100 км / 2 ч	speed	13.88888888888888888888888889	50 км/ч
один kph	speed	0.2777777777777777777777777778	1 км/ч
3,6 kph в mps	speed	1	1 м/с
# The group separator is U+00A0 and the decimal mark is a comma.
1 234 kph	speed	342.7777777777777777777777778	1 234 км/ч
# Both word operators are two-token and both hang off "на", which is
# `keywords.by` here and nothing else.
30 kph умножить на 2	speed	16.66666666666666666666666667	60 км/ч
100 kph разделить на 4	speed	6.944444444444444444444444445	25 км/ч
# Four plural categories. 21 is `one` and 11 is not: Russian counts the last
# digit and then exempts the teens.
1 узел	speed	0.5144444444444444444444444444	1 узел
2 узла	speed	1.028888888888888888888888889	2 узла
5 узлов	speed	2.572222222222222222222222222	5 узлов
11 узлов	speed	5.658888888888888888888888888	11 узлов
21 узел	speed	10.80333333333333333333333333	21 узел
# `few` is the genitive singular — "2 узла" — and the fractional category is
# the same word. Polish puts a nominative plural in that cell, so the two
# tables disagree at exactly one key.
1,5 узла	speed	0.7716666666666666666666666666	1,5 узла
# A conversion target is locative after "в". The result is a fraction, so it
# prints the nominative-other cell and the locative is read and dropped.
100 kph в узлах	speed	27.77777777777777777777777778	53,9957 узла
# "уз" is the Russian abbreviation, and it is two letters — under the suffix
# stripper's `minStem` — so it has to be an alias or it is nothing. "kn" is
# not one: this vocabulary spends the short form on Cyrillic.
5 уз	speed	2.572222222222222222222222222	5 узлов
# The bridge, in Russian words.
100 километров / 2 часа	speed	13.88888888888888888888888889	50 км/ч
