# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C en F	temperature	0	32°F
212 F a C	temperature	100	100°C
100 C en K	temperature	100	373,15K
0 K a C	temperature	-273.15	-273,15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) por 2	tempdelta	20	20°C
(30 C - 20 C) entre 4	tempdelta	2.5	2,5°C
-5 C	temperature	-5	-5°C
veinte C	temperature	20	20°C
menos 40 C en F	temperature	-40	-40°F
# No space before the degree sign, unlike German and French — Spanish closes
# the number up against °C the way English does.
20 C a K	temperature	20	293,15K
# "." groups and "," is the decimal point.
36,6 C	temperature	36.6	36,6°C
0,5 C	temperature	0.5	0,5°C
12345 C	temperature	12345	12.345°C
1234,5 K	temperature	961.35	1.234,5K
# The scale spelled out, and the accent is optional on input: the orthographic
# analyzer folds "centígrados" and "centigrado" onto one unit. Spanish agrees
# the adjective with the number and the printed answer is °C for every form.
20 centígrados	temperature	20	20°C
20 centigrado	temperature	20	20°C
# "kelvines" is the Spanish plural of the borrowed noun. K takes none.
300 kelvines	temperature	26.85	300K
98,6 fahrenheit en C	temperature	37	37°C
veinte centígrados a fahrenheit	temperature	20	68°F
# "por" is times here, which is why division has to be "entre" — the two
# operators above cannot share a word.
(30 C - 20 C) entre 8	tempdelta	1.25	1,25°C
