# input	kind	canonical	formatted
20 C	temperature	20	20 °C
0 C en F	temperature	0	32 °F
212 F en C	temperature	100	100 °C
100 C vers K	temperature	100	373,15 K
0 K en C	temperature	-273.15	-273,15 °C
10 C + 5 C	temperature	15	15 °C
30 C - 20 C	tempdelta	10	10 °C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2 °F
(30 C - 20 C) fois 2	tempdelta	20	20 °C
(30 C - 20 C) divisé par 4	tempdelta	2.5	2,5 °C
-5 C	temperature	-5	-5 °C
vingt C	temperature	20	20 °C
moins 40 C en F	temperature	-40	-40 °F
# A space before the degree sign, and U+202F between the thousands — the narrow
# no-break space, not the U+00A0 that Polish and Russian group with.
1234,5 K	temperature	961.35	1 234,5 K
12345 C	temperature	12345	12 345 °C
# "," is the decimal point and "." is nothing at all: "0.5 C" does not parse
# here, where it would silently mean five in German.
36,6 C	temperature	36.6	36,6 °C
0,5 C	temperature	0.5	0,5 °C
# The scale spelled out. "centigrade" takes an -s after a plural number, and
# the printed answer is °C for both spellings.
20 centigrade	temperature	20	20 °C
20 centigrades	temperature	20	20 °C
98,6 fahrenheit en C	temperature	37	37 °C
# Vigesimal counting: ninety is four twenties and ten.
quatre-vingt-dix C	temperature	90	90 °C
vingt celsius vers fahrenheit	temperature	20	68 °F
# "divisé par" is two tokens folded into one operator; "fois" stands alone.
(30 C - 20 C) divisé par 8	tempdelta	1.25	1,25 °C
