# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C में F	temperature	0	32°F
212 F को C	temperature	100	100°C
100 C में K	temperature	100	373.15K
0 K से C	temperature	-273.15	-273.15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) गुणा 2	tempdelta	20	20°C
(30 C - 20 C) भाग 4	tempdelta	2.5	2.5°C
-5 C	temperature	-5	-5°C
बीस C	temperature	20	20°C
# No space before the degree sign, and English's separators — "," for groups,
# "." for the decimal.
36.6 C	temperature	36.6	36.6°C
0.5 C	temperature	0.5	0.5°C
12345 C	temperature	12345	12,345°C
# The reader is grouping-agnostic. Indian grouping puts a separator every two
# digits above the first three, and both spellings of the one number land on
# it. The writer cannot yet produce Indian grouping and answers in fixed
# threes — a recorded core gap, pinned here rather than papered over.
12,34,567 C	temperature	1234567	1,234,567°C
1,234,567 C	temperature	1234567	1,234,567°C
1,234.5 K	temperature	961.35	1,234.5K
# लाख is a magnitude word in its own right, the way 万 is in Chinese: one lakh
# is a hundred thousand, not a hundred of a thousand.
1 लाख K	temperature	99726.85	100,000K
# The scale names in Devanagari, and the nukta is optional: फ़ारेनहाइट and
# फारेनहाइट fold onto the one unit.
20 सेल्सियस	temperature	20	20°C
20 सेंटीग्रेड	temperature	20	20°C
98.6 फ़ारेनहाइट में C	temperature	37	37°C
98.6 फारेनहाइट में C	temperature	37	37°C
300 केल्विन	temperature	26.85	300K
300 केल्विनों	temperature	26.85	300K
# A conversion is a postposition — में, को and से all follow the source and
# introduce the target.
20 सेल्सियस को फ़ारेनहाइट	temperature	20	68°F
