# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C ke F	temperature	0	32°F
212 F ke C	temperature	100	100°C
100 C ke K	temperature	100	373,15K
0 K ke C	temperature	-273.15	-273,15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) kali 2	tempdelta	20	20°C
(30 C - 20 C) bagi 4	tempdelta	2.5	2,5°C
-5 C	temperature	-5	-5°C
20 celsius ke fahrenheit	temperature	20	68°F
# No space before the degree sign.
20 celsius	temperature	20	20°C
300 kelvin	temperature	26.85	300K
# "." groups and "," is the decimal point — the Dutch pair, which Indonesian
# kept.
36,6 C	temperature	36.6	36,6°C
0,5 C	temperature	0.5	0,5°C
12345 C	temperature	12345	12.345°C
1234,5 K	temperature	961.35	1.234,5K
# No plural anywhere in the language, so 1 and 300 take the same word. A scale
# would have had no number axis in any case: the two reasons coincide here and
# nowhere else in this set.
1 celsius	temperature	1	1°C
300 celsius	temperature	300	300°C
# There is no `id-cardinals.ts` in core, so no spelled number parses and this
# is the one language with no cardinal row. "dua puluh C" throws.
# "kurang" is the negative word, and "minus" is not claimed.
kurang 40 C	temperature	-40	-40°C
98,6 fahrenheit ke C	temperature	37	37°C
# "dalam" is the second conversion preposition beside "ke".
20 C dalam F	temperature	20	68°F
0 C dalam K	temperature	0	273,15K
