# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C in F	temperature	0	32°F
212 F a C	temperature	100	100°C
100 C in K	temperature	100	373,15K
0 K in C	temperature	-273.15	-273,15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) per 2	tempdelta	20	20°C
(30 C - 20 C) diviso 4	tempdelta	2.5	2,5°C
-5 C	temperature	-5	-5°C
venti C	temperature	20	20°C
meno 40 C in F	temperature	-40	-40°F
# No space before the degree sign, where French and German leave one.
20 C a K	temperature	20	293,15K
# "." groups and "," is the decimal point, German's pair.
36,6 C	temperature	36.6	36,6°C
0,5 C	temperature	0.5	0,5°C
12345 C	temperature	12345	12.345°C
1234,5 K	temperature	961.35	1.234,5K
# The scale spelled out. Italian agrees the adjective with the number —
# "centigrado", "centigradi" — and °C is what both print.
20 centigrado	temperature	20	20°C
20 centigradi	temperature	20	20°C
300 kelvin	temperature	26.85	300K
98,6 fahrenheit in C	temperature	37	37°C
venti centigradi a fahrenheit	temperature	20	68°F
# "per" is times, so division is left with the bare participle "diviso" and no
# preposition after it.
(30 C - 20 C) diviso 8	tempdelta	1.25	1,25°C
