# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 Cを F	temperature	0	32°F
212 Fを C	temperature	100	100°C
100 Cから K	temperature	100	373.15K
0 Kを C	temperature	-273.15	-273.15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) かける 2	tempdelta	20	20°C
(30 C - 20 C) わる 4	tempdelta	2.5	2.5°C
-5 C	temperature	-5	-5°C
二十 C	temperature	20	20°C
36.6 C	temperature	36.6	36.6°C
12345 C	temperature	12345	12,345°C
1234.5 K	temperature	961.35	1,234.5K
# No space between the number and the unit, and none between the unit and the
# particle that follows it. The printed answer closes up the same way.
20C	temperature	20	20°C
20摂氏	temperature	20	20°C
300ケルビン	temperature	26.85	300K
# No number agreement, so 1 and 300 take the same word.
1摂氏	temperature	1	1°C
300摂氏	temperature	300	300°C
# The case particles を and から are the conversion keywords, and they glue to
# the source unit rather than standing between the two scales.
20摂氏を華氏	temperature	20	68°F
98.6華氏を C	temperature	37	37°C
# The scale as a katakana loan beside the Sino-Japanese compound: セルシウス and
# 摂氏 are the same unit in two scripts.
20セルシウス	temperature	20	20°C
20セルシウスを 華氏	temperature	20	68°F
# The myriad, as in Chinese: 万 is a magnitude word of its own.
一万 K	temperature	9726.85	10,000K
# The word operators need whitespace on both sides even though Japanese is
# written without any — "(30 C - 20 C)掛ける4" does not parse. The particles
# above need none.
(30 C - 20 C) 掛ける 4	tempdelta	40	40°C
