# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C를 F	temperature	0	32°F
212 F를 C	temperature	100	100°C
100 C에서 K	temperature	100	373.15K
0 K를 C	temperature	-273.15	-273.15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) 곱하기 2	tempdelta	20	20°C
(30 C - 20 C) 나누기 4	tempdelta	2.5	2.5°C
-5 C	temperature	-5	-5°C
이십 C	temperature	20	20°C
36.6 C	temperature	36.6	36.6°C
12345 C	temperature	12345	12,345°C
1234.5 K	temperature	961.35	1,234.5K
# No space between the number and the unit, on input or output.
20C	temperature	20	20°C
20섭씨	temperature	20	20°C
300켈빈	temperature	26.85	300K
# No number agreement, so 1 and 300 take the same word.
1섭씨	temperature	1	1°C
300섭씨	temperature	300	300°C
# The particles 을/를 and 에서 are the conversion keywords. Glued to a Latin
# unit alias they separate cleanly; glued to a Hangul one they do not, so
# "20섭씨를 화씨" throws and the particle has to be spaced off.
20C를 켈빈	temperature	20	293.15K
20섭씨 를 화씨	temperature	20	68°F
# A bare quantity keeps its glued particle either way — it is only the
# conversion that needs the gap.
20섭씨를	temperature	20	20°C
만 K	temperature	9726.85	10,000K
98.6화씨 를 C	temperature	37	37°C
