# input	kind	canonical	formatted
20 C	temperature	20	20 °C
0 C in F	temperature	0	32 °F
212 F naar C	temperature	100	100 °C
100 C in K	temperature	100	373,15 K
0 K naar C	temperature	-273.15	-273,15 °C
10 C + 5 C	temperature	15	15 °C
30 C - 20 C	tempdelta	10	10 °C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2 °F
(30 C - 20 C) maal 2	tempdelta	20	20 °C
(30 C - 20 C) gedeeld door 4	tempdelta	2.5	2,5 °C
-5 C	temperature	-5	-5 °C
twintig C	temperature	20	20 °C
minus 40 C in F	temperature	-40	-40 °F
# A space before the degree sign, as in German, and against the Spanish and
# Italian habit of closing it up.
20 celsius	temperature	20	20 °C
300 kelvin	temperature	26.85	300 K
# "." groups and "," is the decimal point.
36,6 C	temperature	36.6	36,6 °C
0,5 C	temperature	0.5	0,5 °C
12345 C	temperature	12345	12.345 °C
1234,5 K	temperature	961.35	1.234,5 K
# The scale as a compound noun, which Dutch does declare a plural for —
# "celsiusgraad", "celsiusgraden" — even though the printed answer is the
# symbol and never the word.
20 celsiusgraad	temperature	20	20 °C
20 celsiusgraden	temperature	20	20 °C
98,6 fahrenheitgraden in C	temperature	37	37 °C
twintig celsiusgraden naar fahrenheit	temperature	20	68 °F
# Two words for times, one two-token word for over.
(30 C - 20 C) keer 2	tempdelta	20	20 °C
(30 C - 20 C) gedeeld door 8	tempdelta	1.25	1,25 °C
