# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C em F	temperature	0	32°F
212 F para C	temperature	100	100°C
100 C em K	temperature	100	373,15K
0 K para C	temperature	-273.15	-273,15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) vezes 2	tempdelta	20	20°C
(30 C - 20 C) sobre 4	tempdelta	2.5	2,5°C
-5 C	temperature	-5	-5°C
vinte C	temperature	20	20°C
menos 40 C em F	temperature	-40	-40°F
# No space before the degree sign, the Iberian habit both Spanish and
# Portuguese keep and French does not.
20 C em K	temperature	20	293,15K
# "." groups and "," is the decimal point.
36,6 C	temperature	36.6	36,6°C
0,5 C	temperature	0.5	0,5°C
12345 C	temperature	12345	12.345°C
1234,5 K	temperature	961.35	1.234,5K
# The scale spelled out, accent optional: the analyzer folds "centígrado" and
# "centigrados" onto one unit, and °C is what each of them prints.
20 centígrados	temperature	20	20°C
20 centigrado	temperature	20	20°C
300 kelvin	temperature	26.85	300K
98,6 fahrenheit em C	temperature	37	37°C
vinte centígrados para fahrenheit	temperature	20	68°F
# "por" is one of the words for times here, so "dividido por" cannot parse —
# two operators in a row. Portuguese division is "sobre".
(30 C - 20 C) sobre 8	tempdelta	1.25	1,25°C
