# input	kind	canonical	formatted
20 C	temperature	20	20°C
0 C в F	temperature	0	32°F
212 F в C	temperature	100	100°C
100 C до K	temperature	100	373,15K
0 K в C	temperature	-273.15	-273,15°C
10 C + 5 C	temperature	15	15°C
30 C - 20 C	tempdelta	10	10°C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2°F
(30 C - 20 C) умножить на 2	tempdelta	20	20°C
(30 C - 20 C) разделить на 4	tempdelta	2.5	2,5°C
-5 C	temperature	-5	-5°C
двадцать C	temperature	20	20°C
минус 40 C в F	temperature	-40	-40°F
# No space before the degree sign, where Polish leaves one — two languages of
# the same plural family disagreeing about the same symbol.
20 C у K	temperature	20	293,15K
# A decimal comma and a U+00A0 group separator, Polish's pair.
36,6 C	temperature	36.6	36,6°C
1234,5 K	temperature	961.35	1 234,5K
12345 C	temperature	12345	12 345°C
# The four plural categories, carried by the alias list and by nothing that is
# ever printed: "кельвин" for one, "кельвина" for two through four, "кельвинов"
# from five up. K comes back from all three.
1 кельвин	temperature	-272.15	1K
2 кельвина	temperature	-271.15	2K
5 кельвинов	temperature	-268.15	5K
300 кельвинов	temperature	26.85	300K
# The case endings. Russian declines the borrowed scale name through its whole
# paradigm, and the answer is the symbol in every one of them.
20 цельсий	temperature	20	20°C
20 цельсия	temperature	20	20°C
20 цельсием	temperature	20	20°C
300 кельвинам	temperature	26.85	300K
98,6 фаренгейта в C	temperature	37	37°C
двадцать цельсия в фаренгейт	temperature	20	68°F
# Both operators are two tokens, hanging off "на" — the same word that reads as
# "by" in a division and as the multiplier's preposition.
(30 C - 20 C) умножить на 4	tempdelta	40	40°C
(30 C - 20 C) разделить на 8	tempdelta	1.25	1,25°C
