# input	kind	canonical	formatted
20 C	temperature	20	20 °C
0 C çevir F	temperature	0	32 °F
212 F çevir C	temperature	100	100 °C
100 C çevir K	temperature	100	373,15 K
0 K çevir C	temperature	-273.15	-273,15 °C
10 C + 5 C	temperature	15	15 °C
30 C - 20 C	tempdelta	10	10 °C
5 F - 3 F	tempdelta	1.11111111111111111111111111	2 °F
(30 C - 20 C) çarpı 2	tempdelta	20	20 °C
(30 C - 20 C) bölü 4	tempdelta	2.5	2,5 °C
-5 C	temperature	-5	-5 °C
yirmi C	temperature	20	20 °C
eksi 40 C çevir F	temperature	-40	-40 °F
# A space before the degree sign.
20 santigrat	temperature	20	20 °C
300 kelvin	temperature	26.85	300 K
# "." groups and "," is the decimal point, German's pair.
36,6 C	temperature	36.6	36,6 °C
1234,5 K	temperature	961.35	1.234,5 K
12345 C	temperature	12345	12.345 °C
# A conversion is not a preposition here: the sentence hangs off the verb
# "çevir", which sits between the two scales. "to" is claimed beside it because
# Turkish writing borrows it.
0 C to F	temperature	0	32 °F
20 santigrat çevir fahrenheit	temperature	20	68 °F
# The suffix stripper. Turkish agglutinates case onto the unit word.
# "santigrada" is spelled out in the vocabulary; the two kelvin endings are
# not, and the stripper takes them off so the bare stem is what matches.
20 santigrada	temperature	20	20 °C
20 kelvine	temperature	-253.15	20 K
20 kelvinden	temperature	-253.15	20 K
# The dotless i. `toLocaleLowerCase("tr")` sends "I" to "ı" and "İ" to "i", so
# both capitalisations of the same word have to fold onto the one alias. No
# other language here has a case fold that moves a letter's identity.
20 SANTİGRAT	temperature	20	20 °C
20 SANTIGRAT	temperature	20	20 °C
98,6 fahrenheit çevir C	temperature	37	37 °C
otuz altı C	temperature	36	36 °C
# The operators are bare words, neither of them two-token.
(30 C - 20 C) çarpı 4	tempdelta	40	40 °C
(30 C - 20 C) bölü 8	tempdelta	1.25	1,25 °C
