# input	kind	canonical	formatted
2 l çevir ml	volume	2	2.000 mililitre
1 gal çevir litre	volume	3.785411784	3,7854 litre
1 pint çevir ml	volume	0.473176473	473,1765 mililitre
500 ml + 500 ml	volume	1	1.000 mililitre
2 l - 250 ml	volume	1.75	1,75 litre
3 l * 4	volume	12	12 litre
1 l / 4	volume	0.25	0,25 litre
-2 l	volume	-2	-2 litre
bir litre	volume	1	1 litre
iki yüz beş litre	volume	205	205 litre
# "." groups and "," is the decimal point, German's pair.
1.500 ml çevir litre	volume	1.5	1,5 litre
1,5 l	volume	1.5	1,5 litre
1.234.567 ml	volume	1234.567	1.234.567 mililitre
# Turkish does not pluralise after a numeral, so every unit here has exactly
# one printed form and no number axis at all — the smallest `forms` table of
# the seventeen. "1 litre", "5 litre", "1,5 litre", all the same word.
1 litre	volume	1	1 litre
5 litre	volume	5	5 litre
2 galon	volume	7.570823568	2 galon
# The suffix stripper. Turkish agglutinates case and plural onto the unit
# word, and none of these endings is listed as an alias — the stripper takes
# them off and the bare stem is what matches.
10 litreye	volume	10	10 litre
10 litreden	volume	10	10 litre
10 litreler	volume	10	10 litre
# The dotless i. `toLocaleLowerCase("tr")` sends "I" to "ı" and "İ" to "i", so
# both spellings of a capitalised unit have to land on the one alias.
10 LİTRE	volume	10	10 litre
10 LITRE	volume	10	10 litre
# `metreküp` is one token, so Turkish is one of the five languages here that
# prints the cubic metre in words rather than falling back to `m³`.
2 metreküp	volume	2000	2 metreküp
# A conversion is not a preposition here: the target takes a case suffix and
# the sentence hangs off the verb "çevir". "to" is claimed beside it because
# Turkish writing borrows it.
2 l to ml	volume	2	2.000 mililitre
# The operators are bare words, none of them two-token.
2 l çarpı 3	volume	6	6 litre
10 l bölü 4	volume	2.5	2,5 litre
